 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.03                           US0SIX,Ivano-Frankivs'k KN28JW (IF) 
 67.88 H        8.000 KN59EC     UR 1 Persha Prog.,Buky/CHFKRRT, vul. Lisova, 67 (CK) 
 67.91 H       17.000 KO80CB     UR 2 Radio Promin',Kharkiv/KHORTPTS, vul. Derev'yanka, 1a (KA) (i)
       V        0.200 KN39VA     UR 1 Persha Prog.,Bar/Mal'chivtsi (VI) 
 67.97 H        4.000 KN28WG     UR 3 Radio Kul'tura,Chernivtsi/SKH Radiotsentr, vul. Putyl's'ka, 20 (CV) 
 68.00          0.200 KN49FM     UR 1 Persha Prog.,Kalynivka/Pysarivka, OKP Agroinform (VI) (i)
 68.03 H       17.000 KN58KB     UR 3 Radio Kul'tura,Pervomais'k/MFKRRT, Pidgornyans'ke shose, 13 (MY) 
 68.06 H       17.000 KO71DD     UR 2 Radio Promin',Bilopillya/SFKRRT, vul. 1-go Travnya, 15 (SU) 
       H        4.000 KN88ST     Radio Mozhlyvist',Kramators'k/DFKRRT, gora Karachun, vul. Livoberezhna, 699a (DO) 
       H        0.300 KO30SC     UR 1 Persha Prog.,Polonne/KHFKRRT, vul. Lesi Ukrayinky, 5a (KM) 
 68.12 V        0.200 KN48GM     UR 1 Persha Prog.,Tomashpil'/Yarishivka (VI) 
 68.15 H        0.447 KN69AK     Biznes-Radio,Cherkasy/TRK TAKT, vul. O. Dashkevycha, 39 (CK) 
 68.24 H       17.000 KO30EO     Radio Mariya v Ukraini,Antopil'/RFKRRT, vul. Kyivs'ka, 12 (RI) 
       H       17.000 KN74BW     Vesti FM [RUS],Simferopol'/RTPTS ARK, vul. Students'ka, 14 (KR) (i)
 68.27 H       17.000 KO61GU     UR 2 Radio Promin',Kholmy/CHFKRRT (CH) 
 68.30          0.200 KN48UP     Radio Visti Teplychchini,Teplyk/OKP Agroinform (VI) 
 68.36         17.000 KN78MK     ,Dnipro/DFKRRT, vul. Televizijna, 3 (DP) (c)
               15.000 KN56IK     Radio M,Odesa/OORTPTS, vul. Fontans'ka doroga, 3 (OD) 
       H        3.000 KN88XB     Klassnoe Radio,Makiyivka/Mayak, pl. Radyans'ka, 7 (DO) (i)
 68.42 H        0.200 KN18GV     ,Velykyj Bereznyj/ZFKRRT, gora Yavornyk (ZK) (c)
 68.48 H       17.000 KN65VW     Vesti FM [RUS],Krasnoperekops'k/RTPTS ARK, vul. Tavrijs'ka, 105 (KR) (i)
       H        4.000 KO21HE     ,Kovel'/VFKRRT, vul. Varshavs'ka, 5 (VO) (c)
 68.51 H       17.000 KO50FL     UR 1 Persha Prog.,Kyiv/KFKRRT, vul. Dorogozhyts'ka, 10 (KC) (i)
 68.57 H       17.000 KN49EF     UR 2 Radio Promin',Vinnytsya/VFKRRT, vul. Maksymovycha, 23 (VI) 
       H        0.300 KN86JS     UR 1 Persha Prog.,Berdyans'k/ZFKRRT, vul. Rudenka, 4a (ZP) 
 68.60 H       17.000 KN69UP     UR 2 Radio Promin',Krasnohorivka/PFKRRT, vul. Gogolya, 15 (PO) 
 68.72 H       17.000 KN39CM     UR 1 Persha Prog.,Volochys'k/KHFKRRT, vul. Nezalezhnosti, 2b (KM) 
       H        8.000 KN76QT     UR 1 Persha Prog.,Melitopol'/ZFKRRT, prosp. B. Khmel'nyts'kogo, 88 (ZP) 
 68.75 H       17.000 KO70KL     UR 1 Persha Prog.,Trostyanets'/SFKRRT, vul. Neskuchans'ka, 50 (SU) 
       H        4.000 KN98PN     ,Luhans'k/LFKRRT, vul. Dem'okhina, 25 (LU) (i)
 68.84 H       17.000 KN68DL     UR 2 Radio Promin',Kropyvnyts'kyi/KFKRRT, vul. Sadova, 88 (KH) 
 68.99 H       17.000 KN57DF     UR 1 Persha Prog.,Petrovirivka / OFKRRT vul. Verkhnia, 10 (OD) 
       H       17.000 KN87II     UR 1 Persha Prog.,Bil'mak/ZFKRRT, vul. Lenina, 1b (ZP) (i)
       V       17.000 KN29AU     UR 2 Radio Promin',L'viv/LFKRRT, Vysokyy zamok, 9 (LV) 
 69.02 H        4.000 KO50FL     Yaskrave Radio,Kyiv/KFKRRT, vul. Dorogozhyts'ka, 10 (KC) 
       V        0.300 KO70JW     Svitle radio Emmanuyil,Sumy/SFKRRT, vul. Skryabina, 3 (SU) 
 69.08 H       17.000 KN98QC     UR 1 Persha Prog.,Roven'ky/LFKRRT, vul. Vyginna, 22 (LU) (i)
 69.11 V        0.200 KN49PL     UR 1 Persha Prog.,Pohrebishche/RES, vul. Kotsyubyns'kogo, 23 (VI) 
 69.17 H        0.300 KN86ER     UR 1 Persha Prog.,Prymors'k/ZFKRRT, vul. Mors'ka, 86 (ZP) 
 69.20 H       17.000 KO80CB     Svitle radio Emmanuyil,Kharkiv/KHORTPTS, vul. Derev'yanka, 1a (KA) 
 69.23 H       17.000 KN66TU     UR 1 Persha Prog.,Vasilivka/KHFKRRT (KE) 
 69.26 H        4.000 KN28WH     Svitle radio Emmanuyil,Chernivtsi/CHFKRRT, vul. Bilets'ka, 6 (CV) 
 69.35 H       17.000 KN47SR     UR 3 Radio Kul'tura,Vesternychany/OORTPTS, vul. Voroshylova, 115a (OD) 
       H       17.000 KN64SO     Vesti FM [RUS],Sevastopol'/RTPTS ARK, prosp. Peremogy, 96 (SC) (i)
 69.38 H        4.000 KN77EN     UR 1 Persha Prog.,Nikopol'/DFKRRT, vul. K. Libknekhta, 113a (DP) (i)
                3.000 KN45KI     ,Izmayil/OORTPTS, vul. Telehrafna, 260 (OD) (c)
 69.41 H        0.750 KN88ST     UR 1 Persha Prog.,Kramators'k/DFKRRT, gora Karachun, vul. Livoberezhna, 699a (DO) 
 69.44 H       17.000 KN87SC     UR 3 Radio Kul'tura,Mariupol'/DFKRRT, vul. Klenova Balka, 3 (DO) 
 69.47 H        4.000 KO51PM     UR 1 Persha Prog.,Chernihiv/CHFKRRT, vul. Komsomol's'ka, 53b (CH) (i)
                2.000 KN79EI     UR 1 Persha Prog.,Lelyukhovka/PFKRRT (PO) (i)
 69.50          0.200 KN49BI     UR 1 Persha Prog.,Lityn/Selyshche, OKP Agroinform (VI) (i)
 69.53 H       17.000 KN18FP     UR 1 Persha Prog.,Uzhgorod/Yarok, ZFKRRT, gora Tokarnya (ZK) 
 69.56 H       17.000 KN85FH     Vesti FM [RUS],Kerch/RTPTS ARK, vul. Ordzhonikidze, 144a (KR) (i)
       H        4.000 KN67QV     UR 3 Radio Kul'tura,Kryvyj Rih/DFKRRT, vul. Televizijna, 8a (DP) 
