 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 93.00 V 23EB   0.400 KO39PJ     Retro FM,Kohtla-Järve/Järve/Telia mast, Olevi tn. 1 (IDA) 
 93.20 V 20EA   3.000 KO29KL     NRJ,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
 93.30 V 2301   2.200 KO18GG     Star FM,Kuressaare/Telia mast, Pikk tn. 75A (SAA) 
 93.40 V 22E4   6.000 KO38AX     Raadio 4,Kapu/Koeru raadio- ja telemast (JAE) 
 93.60 V 22E4   2.000 KO18SW     Raadio 4,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
       V 22EE   0.350 KO49CJ     Sky Plus,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
 93.70 V 24F4   0.600 KO28TI     Ring FM,Viiratsi/ERSK (VIL) 
       V 2098   0.100 KO29IJ     SSS-Radio,Tallinn/Kristiine, Laki tn. 14A (HAR) 
 93.80 V 22EE   3.000 KO37NS     Sky Plus,Holsta/Telia mast (VOE) 
       V        0.008            ,unknown (t)
 93.90 V 205E   0.500 KO28EJ     Rock FM,Malda/Audru Telia mast (PAE) 
 94.10 V 2049   0.200 KO38II     Jumor FM,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
 94.20 V 22E4   1.000 KO39EL     Raadio 4,Pehka/Möldre (L-V) 
       V 23EB   0.300 KO18SW     Retro FM,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
       V 22E4   0.025 KO39VJ     Raadio 4,Sillamäe (IDA) 
 94.40 V 22E4   0.500 KO38II     Raadio 4,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
 94.50 V 22E4  30.000 KO29KL     Raadio 4,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
 94.60 V 2035   0.100 KO39NI     Äripäeva Raadio,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
