                      JM54JS     Diwan FM,Sfax 
 92.20 H 7211   3.000 JM46NL     Radio Zitouna FM,Beja/Gorraa (BEJ) 
       H 7208   3.000 JM45NV     RTT Radio Kef,Maktar/Souk Jomaa (KAS) 
       V 7207         JM53CG     RTT Radio Nationale,Bani Kheddache (MED) 
 92.30   7209   1.000 JM43BW     Mosaïque FM,Tozeur (TOZ) 
 92.40   7229         JM55BQ     Radio iFM,Kairouan=Al-Qayrawan (KAI) 
 92.50 V 7243   5.000 JM56EQ     RTT Panorama,Ben Arous/Djebel Bou-Kornine (TUN) 
       H 7201   1.500 JM55JQ     RTT Radio Jeunes,Harkoussia (MON) 
       H 7201   1.000 JM55LK     RTT Radio Jeunes,Ksour-Essaf (MAH) 
 92.60 H 7201   3.162 JM52GT     RTT Radio Jeunes,Techout (TAT) 
       H 7201   0.100 JM46EF     RTT Radio Jeunes,Sakiet Sidi Youssef (ELK) 
 92.70 H 7206  49.000 JM45IE     RTT Radio Gafsa,Kasserine/Djebel ech Chambi (KAS) 
         7229         JM55FT     Radio iFM,Kalaa Kebira (SOU) 
 92.80 H        1.400 JM33WV     ,Nefta (TOZ) (p)
 92.90 V 7209   7.100 JM56JT     Mosaïque FM,Kef-Errand (NAB) 
 93.00 H 7201  60.250 JM54IW     RTT Radio Jeunes,Sfax/El-Ghraba (SFA) 
       H       10.000 JM40SG     RTT Radio Nationale,Bordj el-Khadra 
       V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
 93.10 V 7207   0.300 JM47OB     RTT Radio Nationale,Sejenane (BIZ) 
         7208         JM46KH     RTT Radio Kef,Djebel ez Zatria (ELK) 
 93.20 H        8.000 JM56BJ     ,Zaghouan (ZAG) (p)
         40B2         JM55HT     Sousse FM,Sousse (SOU) 
 93.30 V 7212   1.000 JM53AT     RTT Radio Culture,Gabès/El M Dou (GAB) 
 93.40 H 7202  80.000 JM52FC     RTT R.Tunis Chaine Int.,Remada (TAT) 
       H 7202   5.600 JM46IS     RTT R.Tunis Chaine Int.,Aïn Draham/Djebel Al-Bi'r (JEN) 
         7229         JM55HT     Radio iFM,Sousse (SOU) 
                      JM56ER     Radio ML - Media Libre FM,Tunis/studios (TUN) 
 93.50 V 7224   5.000 JM56EQ     Radio Med,Ben Arous/Djebel Bou-Kornine (TUN) 
       H 7206   0.650 JM44OK     RTT Radio Gafsa,Gafsa/Djebel Biadha (GAF) 
 93.60 H 7208  27.000 JM44OK     RTT Radio Kef,Gafsa/Djebel Biadha (GAF) 
 93.70   7213         JM55HT     Shems FM,Sousse (SOU) 
 93.80 H 7202   1.500 JM47XC     RTT R.Tunis Chaine Int.,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
       H 7208   0.370 JM45MR     RTT Radio Kef,Hmeima (ELK) 
 93.90 H 7201  72.500 JM53MM     RTT Radio Jeunes,Zarzis (MED) 
                      JM56JL     RTT Radio Nationale,Nabeul/Beni Khiar (NAB) 
 94.00 H 7211   5.000 JM45TN     Radio Zitouna FM,Kairouan/Djebel Trozza (KAI) 
 94.10 H 7207  50.000 JM44OK     RTT Radio Nationale,Gafsa/Djebel Biadha (GAF) 
       H 7208   2.140 JM46EK     RTT Radio Kef,Ghardimaou (JEN) 
 94.30 H 7207  80.000 JM56BI     RTT Radio Nationale,Zaghouan/Djebel Zaghouan (ZAG) 
 94.40 V 7225   1.000 JM53AT     Radio Oasis FM,Gabès/El M Dou (GAB) 
       V 7211   1.000 JM52FW     Radio Zitouna FM,Tataounie/Brourmet (TAT) 
         7201         JM44EH     RTT Radio Jeunes,Metlaoui (GAF) 
 94.50 H 7209   5.000 JM45NV     Mosaïque FM,Maktar/Souk Jomaa (KAS) 
 94.60 H 7207  50.000 JM45IE     RTT Radio Nationale,Kasserine/Djebel ech Chambi (KAS) 
       H 7207   1.000 JM33WV     RTT Radio Nationale,Nefta (TOZ) 
         F225         JM55HT     Mahdia FM - MFM,Sousse (SOU) 
 94.70 H 7229   5.600 JM53MM     Radio iFM,Zarzis (MED) 
       H        0.100 JM55IM     ,Zeramdine (MON) (p)
         7239         JM55HT     Radio MFM,Sousse (SOU) 
 94.80 H        4.200 JM52FC     ,Remada (TAT) (p)
 94.90 H 7209   5.000 JM56EQ     Mosaïque FM,Ben Arous/Djebel Bou-Kornine (TUN) 
 95.00 H 7201  46.000 JM44OK     RTT Radio Jeunes,Gafsa/Djebel Biadha (GAF) 
       V        2.900 JM56JL     ,Nabeul/Beni Khiar (NAB) (p)
 95.20 H 7222   0.200 JM56IN     Radio Cap FM,Sidi Abdessalem (NAB) 
 95.30 H 7209  44.700 JM54IW     Mosaïque FM,Sfax/El-Ghraba (SFA) 
 95.40 H 7202   3.800 JM46NL     RTT R.Tunis Chaine Int.,Beja/Gorraa (BEJ) 
       V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
 95.50   7240   2.000 JM55BQ     Dream FM,Kairouan=Al-Qayrawan (KAI) 
       H 7207   1.000 JM43BW     RTT Radio Nationale,Tozeur (TOZ) 
                      JM56CT     Data FM Sport Radio,Tunis (TUN) 
 95.70 H 7213   2.800 JM47XC     Shems FM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
       V 7203   0.900 JM55JQ     RTT Radio Monastir,Harkoussia (MON) 
 95.80 V 7205   0.126 JM53EB     RTT Radio Tataouine,Ghomrassen (TAT) 
       H 7208   0.100 JM46EF     RTT Radio Kef,Sakiet Sidi Youssef (ELK) 
 95.90   7216  10.000 JM45IE     Radio Chambi,Kasserine/Djebel ech Chambi (KAS) 
         7238         JM55HT     Nejma FM,Sousse (SOU) 
 96.00 H        5.600 JM53MM     ,Zarzis (MED) (p)
