 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01                KP11QU     OH1SIX,Ikaalinen KP11QU (PI) (i)
       V 6411   2.000 KP20HW     Radio Nostalgia,Janakkala/Alanko-Koljalantie (KH) 
 88.60 H 6201  50.000 KP23TG     YLE Radio Yksi,Pihtipudas/Ilosvuori-Viitasaarentie (KS) 
       H 6201  30.000 KP26IC     YLE Radio Yksi,Tervola/Törmävaara (LA) 
       H E203  10.000 KP00BE     SR P3,Sund/Finby-Fejansberg (AH) 
       V 62AC   3.000 KP10OT     Radio City,Forssa/Ypäjä (KH) 
       H 6201   3.000 KQ30TB     YLE Radio Yksi,Utsjoki/Nuorgam-Njallavarri (LA) 
       V 628C   0.500 KP20LE     Helmiradio,Helsinki - Helsingfors/Pasila - Länsi-Radiokatu 5, (UU) 
 88.70 V 6209   1.000 KP42VO     Radio Nova,Joensuu/Vestinkallio (PK) 
       V 6286   0.500 KP01XL     Jouluradio 2019,Ulvila/Kylmäkorpi (ST) (t)
       V 6239   0.500 KP01UG     Kesäseuraradio,Eurajoki (ST) (t)
       V 628C   0.200 KP11UM     Helmiradio,Tampere - Tammerfors/Näsinneula (PI) 
       V 6363   0.200 KP20TX     HitMix,Lahti - Lahtis/Keski-Lahti Radiomäki, YLE masto 2 (PH) 
       V 62AD   0.200 KP03TC     Iskelmä,Vaasa - Vasa/Klemettilä (PO) 
 88.80 H 6207  30.000 KP13SR     YLE Puhe,Kruunupyy - Kronoby/Alaveteli-Saarukantie (PO) 
       V 6084   3.000 KP25TB     Sea FM,Oulu - Uleåborg/Polvikangas (PP) 
       V 6460   2.000 KP44DD     Radio SuomiPOP,Vuokatti/Sotkamo-Vuokatinvaara, Maantie 8741 (KA) 
       V 6340   1.000 KP10XG     NRJ Energy,Lohja/Joenlahti (UU) 
       V 6340   1.000 KP21NU     NRJ Energy,Jämsä/Matkosvuori (KS) 
       V 6460   0.300 KP44KU     Radio SuomiPOP,Suomussalmi/Ruukinkangas (KA) 
       V 628E   0.200 KP32TV     ,Kuopio/Puijo-Puijontie, näkötorni (PS) (c)
       V 6480   0.050 KP20FW     ,Hämeenlinna-Tavastehus/Hattelmala-Hakapellontie 91 (KH) (c)
 88.90 H 6201  30.000 KP02TG     YLE Radio Yksi,Kristiinankaupunki-Kristinestad/Lapväärtti-Pyhävuo (PO) 
       H 6201  30.000 KP31RO     YLE Radio Yksi,Mikkeli - Sankt Michel/Majavesi-Puntalantie 41 (ES) 
       V 62AC   2.000 KP20EX     Radio City,Hämeenlinna-Tavastehus/Ahvenisto (KH) 
 89.00 H 6201  30.000 KP24PD     YLE Radio Yksi,Haapavesi/Haapovuori-Mastontie (PP) 
       V 628B   1.000 KP11TN     FUN,Ylöjärvi/Soppeenmäki-Mastontie (PI) 
       V 62B1   1.000 KP10EL     Kasari,Turku - Åbo/Metsämäki-Pitkäsaarenmäki (VS) 
       V 6411   1.000 KP30MM     Radio Nostalgia,Kotka/Karhula-Höyterintie (KY) 
       V        1.000 KP38NU     ,Inari - Enare/Tuulispäät-Inarintie (LA) (c)
       V 6266   0.500 KP20LE     Radio Dei,Helsinki - Helsingfors/Pasila - Länsi-Radiokatu 5, (UU) 
 89.10 V 628C   1.000 KP03SF     Helmiradio,Vaasa - Vasa/Mustasaari-Alskat (PO) 
       V 6363   1.000 KP22BK     HitMix,Ähtäri - Etseri/Isomäki-Pihlajavedentie (EP) 
       V 6459   1.000 KP21WK     Loop,Sysmä/Nuoramoinen-Nissintie 1 (PH) 
       V 6459   1.000 KP32SR     Loop,Kuopio/Vehmasmäki-Möykkylänmäentie (PS) 
       V 628E   0.200 KP01XL     Radio Patmos,Ulvila/Kylmäkorpi (ST) 
       V 6203   0.200 KP41DB     YLE Radio Suomi,Lappeenranta - Villmanstrand / Mustola (EK) 
                0.020 KP13NC     ,Kauhava (EP) (c)
 89.20 H 6201  60.000 KP45EH     YLE Radio Yksi,Taivalkoski/Metsäkylä-Metsäkyläntie 361 (PP) 
       H 6201   5.000 KP10WW     YLE Radio Yksi,Tammela/Torajärvi-Rimmiläntie 110 (KH) 
       V 628E   1.000 KP22UN     Radio Patmos,Äänekoski/Noropohja (KS) 
       V 6239   0.200 KP20RI     Kesäseuraradio,Porvoo (VHF) (UU) (t)
       V 628E   0.200 KP20TJ     ,Porvoo (UU) (c)
 89.30 V 62AD   1.000 KP26VM     Iskelmä,Rovaniemi/Ounasvaara-Juhannuskallio, Hotelli (LA) 
       V 6367   1.000 KP30IV     Radio Aalto,Kouvola/Palomäki-Vuorikatu (KY) 
       V 6288   1.000 KP21EQ     Radio Rock,Orivesi/Oriahde-Notkotie (PI) 
       V 62B2   1.000 KP33VD     Ysäri,Siilinjärvi/Kuuslahti (PS) 
       H 6239   0.500 KP23TG     Kesäseuraradio,Pihtipudas/Ilosvuori-Viitasaarentie (KS) (t)
       V 5158   0.400 KP13NT     Radio Pooki,Kokkola - Karleby/Kosila (KP) 
                0.005 KP10DK     Raviradio,Turku (VS) (t)
 89.40 V 62AD   3.000 KP25WA     Iskelmä,Oulu - Uleåborg/Kiiminki-Isohalme, Radiotie (PP) 
       H 6201   2.000 KP32NG     YLE Radio Yksi,Pieksämäki/Pirttimäki-Kokkomäentie 68 (ES) 
       V 62B1   1.000 KP20MP     Kasari,Hyvinkää/Ridasjärvi (UU) 
       V 6367   1.000 KP10SD     Radio Aalto,Fiskars/Raasepori-Fiskari, Flacsjöntie (UU) 
       V 6266   1.000 KP12LW     Radio Dei,Lapua - Lappo/Simpsiö-Mastontie (EP) 
       V 6033   1.000 KP01VM     Radio Pori,Pori - Björneborg/Luotsinmäki (ST) 
 89.50 V 628C   3.000 KP33NP     Helmiradio,Iisalmi/Iimäki (Digita) (PS) 
       V 6158   3.000 KP26IC     Radio Pooki,Tervola/Törmävaara (LA) 
       H 6201   3.000 KP20WN     YLE Radio Yksi,Pernaja - Pernå/Loviisa-Malmgård, Myrskyläntie 394 (UU) 
       M 6201   2.000 KP29XK     YLE Radio Yksi,Utsjoki/Karigasniemi-Ailigas (LA) 
       V 6266   1.000 KP02TG     Radio Dei,Kristiinankaupunki-Kristinestad/Lapväärtti-Pyhävuo (PO) 
       V 6411   1.000 KP41DB     Radio Nostalgia,Lappeenranta - Villmanstrand/Tirilä-Loirintie 86 (EK) 
       V 6460   1.000 KP44BR     Radio SuomiPOP,Paljakka/Hyrynsalmi-Karpinvaara (KA) 
       V 62AC   0.400 KP11KH     Radio City,Sastamala (PI) 
       V 6201   0.200 KP24GQ     YLE Radio Yksi,Raahe - Brahestad/Mestauskallio-Valtatie (PP) 
 89.60 V 6255   1.000 KP23WC     Järviradio,Viitasaari/Savivuoren Näköt. (KS) 
       V        1.000 KP41KU     Järviradio,Savonlinna - Nyslott/Ruunavuori-Ruunavuorentie (ES) 
       V 6459   1.000 KP21NU     Loop,Jämsä/Matkosvuori (KS) 
       H 6202   1.000 KP03SF     YleX,Vaasa - Vasa/Mustasaari-Alskat (PO) 
       V 62B2   0.500 KP42VN     Ysäri,Joensuu/Repokallio (PK) 
       V 628E   0.500 KP42VO     ,Joensuu (PK) (c)
       V 62AB   0.200 KP11UM     KISS,Tampere - Tammerfors/Näsinneula (PI) 
 89.70 V 628C   3.000 KP31RO     Helmiradio,Mikkeli - Sankt Michel/Majavesi-Puntalantie 41 (ES) 
       V 6255   1.000 KP13WC     Järviradio,Vimpeli (EP) 
       V 6411   1.000 KP32TV     Radio Nostalgia,Kuopio/Puijo-Puijontie, näkötorni (PS) 
       V 6209   1.000 KP21SA     Radio Nova,Lahti - Lahtis/Hollola-Tiirismaa, Arvi Hauvosentie (PH) 
       V 6092   0.500 KP20KF     Radio Helsinki,Helsinki - Helsingfors/Pasila-Metsäläntie (UU) 
 89.80 H 6201  60.000 KP10EJ     YLE Radio Yksi,Turku - Åbo/Kaarina-Kuusisto, Vuolahdentie 137 (VS) 
       V 6202   3.000 KP16UH     YleX,Ylitornio/Ainiovaara (LA) 
       V 6363   0.100 KP13NU     HitMix,Kokkola - Karleby/Patamäki (KP) 
 89.90 H 6201  30.000 KP22TE     YLE Radio Yksi,Jyväskylä/Taka-Keljo Ronsuntaipaleentie (KS) 
       V 6255   2.000 KP20GT     Järviradio,Janakkala/Tietty (KH) 
       V 6288   2.000 KP24GQ     Radio Rock,Raahe - Brahestad/Mestauskallio-Valtatie (PP) 
       V 6411   1.000 KP01VM     Radio Nostalgia,Pori - Björneborg/Luotsinmäki (ST) 
       V 6202   1.000 KP49HO     YleX,Inari - Enare/Jänispää (LA) 
 90.00 V 6288  10.000 KP30MQ     Radio Rock,Anjalankoski/Kouvola-Liikkala, Sopasenpolku 40 (KY) 
       H        1.000 KP44DD     Jouluradio,Vuokatti/Sotkamo-Vuokatinvaara, Maantie 8741 (KA) (t)
       H        1.000 KP26SN     Jouluradio,Rovaniemi/Vennivaara-Vennivarantie (LA) (t)
       H 6239   1.000 KP44DD     Kesäseuraradio,Vuokatti/Sotkamo-Vuokatinvaara, Maantie 8741 (KA) (t)
       V 6239   1.000 KP26TN     Kesäseuraradio,Rovaniemi (LA) (t)
