 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 98.10                           Ashams Radio,Galilee 
 98.30   A963         KM71OV     Raya FM,Ramallah (WEB) 
 98.60                KM71FM     Quran Radio FM,Gaza (GAZ) 
                      KM71RU     Radio Angham,Jericho (WEB) 
                      KM72MH     Radio Angham,Tulkarem (WEB) 
 98.70 V noPI         KM71NR     Orient Radio,Bethlehem (WEB) 
 98.80                KM71OV     BBC WS Arabic,Ramallah (WEB) 
                                 Radio Dream,Hebron (WEB) 
                      KM72PF     ,Nablus (WEB) 
 99.10                KM71FM     Amwaj Sport,Gaza (GAZ) 
 99.20   9920         KM71OV     Radio Wattan,Ramallah (WEB) 
 99.40 V A555   5.000 KM71NN     PBC Saout'il Philestine,Hebron (WEB) 
 99.60                KM71FM     Sahaba Radio,Gaza (GAZ) 
 99.70 V 5F6D         KM72LE     Radio Nagham,Qalqiliya=Qalqilia (WEB) 
100.00 V        0.150 KM71OQ     Radio Ibdaa 194,Dheisheh Camp (WEB) 
100.10                KM71FM     Forsan Alerada,Gaza (GAZ) 
100.20 V              KM71NN     Radio Sawa,Hebron (WEB) 
100.40                KM71RU     Radio Ajyal,Jericho (WEB) 
                      KM72PF     Radio Ajyal,Nablus (WEB) 
100.50   42E7  16.000 KM72OA     KAN Reka,Atara (WEB) 
       V        1.000 KM71NN     Radio Marah,Hebron (WEB) 
                                 Radio Bethlehem 2000,unknown 
100.70                KM71PS     Radio Amwaj,Jerusalem (WEB) 
100.80                           Marah Radio,Hebron (WEB) 
                      KM72PF     Radio Hayat FM,Nablus (WEB) 
100.90 V              KM71FM     Radio Gaza FM,Gaza (GAZ) 
101.00                           Radio Alhuda,Qalqilya 
                                 Sawt Alnaqap,Hebron (WEB) 
101.40   9704                    Alam FM,unknown 
101.70                KM72PF     Radio Angham,Nablus (WEB) 
         8205         KM72OB     Radio Angham,Salfit (WEB) 
       V              KM71NR     Radio Mawwal,Bethlehem (WEB) 
101.80   AA2F                    Fajer FM,unknown 
102.10                KM71FM     Sawt Al-Tarbiat Waltaelim (Voice of Education),Gaza (GAZ) 
102.50   F9FC         KM71OV     Radio Mazaj,Ramallah (WEB) 
102.60                KM72PF     Radio Sama,Nablus (WEB) 
102.70 V              KM71FM     Al-Quds Radio,Gaza (GAZ) 
102.80   F2FF         KM71OV     a7la FM,Ramallah (WEB) 
       V              KM72PK     Najah FM,Jenin=Jeneen (WEB) 
102.90                KM71FM     Radio Bethlehem 2000,Gaza (GAZ) (u)
       V              KM71NN     Radio Bethlehem 2000,Hebron (WEB) 
103.00                KM72PK     BBC WS Arabic,Jenin=Jeneen (WEB) 
103.20                           Reef Radio,Hebron (WEB) 
                      KM72QH     Tubas FM,Tubas (WEB) 
103.40 V 8202  10.000 KM71OV     Radio Ajyal,Ramallah (WEB) 
103.70   4202  16.000 KM72OA     KAN Kol HaMusika,Atara (WEB) 
103.80   8208         KM71OV     Ramallah FM,Ramallah (WEB) 
103.90                           Raya FM,unknown 
104.00                KM71NR     Cool FM,Bethlehem (WEB) 
104.20                KM71OV     BURJ RADIO 104.2 FM,Ramallah (WEB) 
104.40 V        0.100 KM72MH     Najah FM,Nur A-Shams (WEB) 
       V              KM72PF     Najah FM,Nablus (WEB) 
104.50   0009         KM71OV     Alhorya Radio,Ramallah (WEB) 
104.70 V              KM72PK     Al-Balad Radio,Jenin=Jeneen (WEB) 
104.90                KM72PK     NAS FM,Jenin=Jeneen (WEB) 
105.00                KM71OX     Al-Shabab Radio,Birzeit=Bir Zayt (WEB) 
                      KM71FM     Alwatan Radio,Gaza (GAZ) 
105.20                           Al-Balad Radio,unknown 
105.30         16.000 KM72OA     KAN Tarbut,Atara (WEB) 
                4.000 KM72OC     KAN Tarbut,Ariel (WEB) 
       H        0.120 KM71OV     KAN Tarbut,Ramallah/Psagot (WEB) 
                      KM71PT     KAN Tarbut,Ma'ale Adumim (WEB) (u)
                      KM71FM     Radio Alazhr,Gaza (GAZ) 
105.60                KM71FM     Israa Radio,Gaza (GAZ) 
                      KM71NR     Radio Angham,Bethlehem (WEB) 
105.80   8202         KM71NN     Radio Ajyal,Hebron (WEB) 
105.90                KM72PK     Al-Balad Radio,Jenin=Jeneen (WEB) 
106.00 H        0.120 KM71OV     KAN Kol HaCampus,Ramallah/Psagot (WEB) 
                      KM71FM     Sawt al-Shaab,Gaza (GAZ) 
       H              KM71NN     ,Hebron (WEB) (p)
106.10                KM71OV     Future Radio FM,Ramallah (WEB) 
106.20                KM72LE     Radio Angham,Qalqiliya=Qalqilia (WEB) 
106.30                KM71FM     Haya FM,Gaza (GAZ) 
         04C7         KM71NR     Radio Bethlehem 2000,Bethlehem (WEB) 
106.60   8202         KM72MH     Radio Ajyal,Tulkarem (WEB) 
106.70 V              KM71FM     Sawt Alaqsa,Gaza (GAZ) 
106.80   0922         KM72PF     Hawa Nablus FM,Nablus (WEB) 
                      KM72PK     Radio Angham,Jenin=Jeneen (WEB) 
106.90   8202         KM71NR     Radio Ajyal,Bethlehem (WEB) 
107.20 V 8202         KM71FM     Radio Ajyal,Gaza (GAZ) 
107.30 V              KM72MH     Kul Al-Nas Radio,Tulkarem (WEB) 
107.40                           7ala FM,unknown 
                      KM71FM     BBC WS Arabic,Gaza (GAZ) 
         8205         KM72QH     Radio Angham,Tubas (WEB) 
107.70   noPI         KM71OV     Sawt Al-Sharq,Ramallah (WEB) 
107.80                KM72PF     NHK Tokio,Nablus (WEB) 
107.90 V        3.000 KM71OV     TMFM-Radio Tariq al-Mahabe,Ramallah (WEB) 
                      KM71RU     NHK Tokio,Jericho (WEB) 
                      KM71FM     Radio Alasra Voice,Gaza (GAZ) 
108.00                KM71FM     PBC Saout'il Philestine,Gaza (GAZ) 
                      KM71RU     Radio al-Mada Ariha,Jericho (WEB) 
