 92.80 H        0.300 JN92XO     Radio Plav,Plav (PL) 
       H        0.250 JN92SW     Radio Mojkovac,Mojkovac/Katunicko Brdo (MK) 
 92.90 H        0.300 JN92MN     Radio Danilovgrad,Danilovgrad/Kurilo (DG) 
 93.00   61D4         JN92MD     Drugacija Radio Stanica (D.R.S.),Bar/Velji Grad (BR) 
         D451         JN92LJ     Radio D Plus,Cetinje (CT) 
 93.20 V D28B   1.000 JN93QI     Radio S1-CG,Pljevlja/Tvrdas (PV) 
       M D450   0.300 JN92MQ     Radio D,Niksic/Ostrog (NK) 
 93.30 H 3033   0.300 JN92WU     TDI Radio,Berane/Jejevica (BA) 
       H        0.250 JN92PK     City Radio,Podgorica (PG) 
 93.40 H        3.000 JN91PX     Radio Crne Gore 2 - Radio 98,Ulcinj/Mozura (UL) 
                1.000 JN93KD     Radio Niksic,Pluzine/Zavorovi (PE) (c)
         D2DE         JN92JK     Play Radio ,Kotor/Vrmac (KO) 
 93.70 H noPI   0.500 JN92JG     Radio Crne Gore 2 - Radio 98,Budva/Spas (BD) 
 93.80 M        0.300 JN92NJ     Radio Zeta,Podgorica/Velja Gora (PG) 
 93.90 V D2DE   1.000 JN92MT     Play Radio ,Niksic/Tovic-Sudina Glava (NK) 
       V        1.000 JN91PX     Radio Elita,Ulcinj/Mozura (UL) 
                      JN93VA     ,Bijelo Polje/Obrov (BP) (i)
 94.00 H 63C1   1.000 JN92RS     Radio Crne Gore 1,Kolasin/Moraca-Crkvine (KL) 
 94.20 H 63C5   5.000 KN02AU     Radio Crne Gore 2 - Radio 98,Rozaje/Kacuber (RO) 
 94.30 H 3033   0.300 JN92HJ     TDI Radio,Tivat/Lustica (TV) 
 94.40 M D451   0.300 JN92MQ     Radio D Plus,Niksic/Ostrog (NK) 
 94.50 H        0.400 JN92LJ     Radio Cetinje,Cetinje (CT) 
 94.60 V 63C1   2.500 JN93WA     Radio Crne Gore 1,Bijelo Polje/Kurilo BP (BP) 
 94.80 M        0.500 JN93QI     Radio Pljevlja,Pljevlja (PV) 
 94.90 H 63C1  60.000 JN92JJ     Radio Crne Gore 1,Lovcen/Stirovnik (CT) 
                      JN92WS     ,Andrijevica/Balj (AN) (p)
 95.10 V        0.100 JN93ND     ,Zabljak/Pitomine (ZB) (i)
 95.30 H        1.000 JN92WU     Radio Crne Gore 2 - Radio 98,Berane/Jejevica (BA) 
       H noPI   0.500 JN92JJ     Radio Kotor,Kotor/Stari Grad 317 (KO) 
 95.40                JN92MD     Radio Homer,Bar/Velji Grad (BR) 
 95.50 H 63C1   1.000 JN92PK     Radio Crne Gore 1,Podgorica/RTV Dom-odrzava RCG (PG) 
         61D4         JN92HJ     Drugacija Radio Stanica (D.R.S.),Tivat/Lustica (TV) 
                      JN93WA     Radio Bijelo Polje,Bijelo Polje/Kurilo BP (BP) 
 95.70 V 6214   0.300 JN92MT     Radio Svetigora,Niksic/Tovic-Sudina Glava (NK) 
 95.80 M        1.000 JN92WS     Radio Andrijevica,Andrijevica/Balj (AN) 
 96.00 H        0.300 JN92NC     Elmag Radio,Bar/Volujica (BR) 
       H 32FD   0.300 JN92HJ     Elmag Radio,Tivat/Lustica (TV) 
       M        0.300 JN92PL     Elmag Radio,Podgorica/Sjenica (PG) 
 96.10 H 63C1   2.000 JN93ME     Radio Crne Gore 1,Zabljak/Durmitor-Stuoc (ZB) 
 96.50 M 63C1   5.000 JN92PL     Radio Crne Gore 1,Podgorica/Sjenica (PG) 
 96.60 V 620D   1.200 JN92HJ     Radio S1-CG,Tivat/Lustica (TV) 
       V 620D   0.800 JN92NC     Radio S1-CG,Bar/Volujica (BR) 
         3417         JN93VA     Radio Fatih,Bijelo Polje/Obrov (BP) 
 96.80 H 63C1   3.000 JN93QI     Radio Crne Gore 1,Pljevlja/Tvrdas (PV) 
       V 3033   0.300 JN92MT     TDI Radio,Niksic/Tovic-Sudina Glava (NK) 
 97.00                JN92PK     Romski Radio,Podgorica/Vrela Ribnicka (PG) 
