                      LM31OU     Radio Sawa,Al-Amarah (ITU: Amara) (MYS) 
 91.70                LM13PK     Radio Nawa Arabic,Ramadi (ANB) 
                      LM25PN     Zed Radio,Sulaimaniyah (SUL) 
 91.90 V 1010   1.000 LM16MU     Radio Nawa Kurdish,Dohuk (DAH) 
       H        0.300 LM21DX     R.Al-Quran Al-Kareem,Najaf (NAJ) 
                                 Al Mowood Radio,Karbala 
                      LM23EH     Iraqi Health Broadcasting,Baghdad  (BGH) 
         1010         LM25MW     Radio Nawa Kurdish,Sara Dokan 
 92.00 H        0.300 LM26AE     Radio Al-Salam,Arbil=Erbil=Hewlêr (ARB) 
       H        0.300 LM13KP     Radio of the Republic of Iraq,Hit (ANB) 
       H              LM30WM     Monte Carlo Doualiya,Al Basrah (BSR) 
                      LM26KG     Radio Lawani Kurdistan,Ranya (SUL) 
       M              LM14SQ     ,Al-Sahra/COB Speicher (SAD) (c)
 92.10                LM25EL     Radio Al-Rasheed,Kirkuk (KRK) 
       V 1010         LM26AE     Radio Nawa Kurdish,Arbil=Erbil=Hewlêr (ARB) 
       V              LM26GO     Radio Nawa Kurdish,Soran (ARB) 
       V              LM24PO     Radio Nawa Kurdish,Kalar (SUL) 
       V 1010         LM25RN     Radio Nawa Kurdish,Sulaimaniyah (SUL) 
                      LM21DX     Radio Rusol Alsalam,Najaf (NAJ) 
 92.20                           Radio of the Republic of Iraq,unknown 
 92.30 V 1012         LM25RN     Radio Nawa Music,Sulaimaniyah (SUL) 
                      LM16MU     Zed Radio,Dohuk (DAH) 
                      LM26AE     Zed Radio,Arbil=Erbil=Hewlêr (ARB) 
 92.40                LM16NH     ,Mosul=Mûsil (NNW) (c)
 92.50                LM31OU     Al-Ahad Radio,Al-Amarah (ITU: Amara) (MYS) 
       H              LM25PN     BBC WS Arabic,Sulaimaniyah (SUL) 
                      LM23EH     Radio Al Furqan - Baghdad,Baghdad  (BGH) 
       V              LM30WM     Radio Nawa Arabic,Al Basrah (BSR) 
                      LM25EL     Zed Radio,Kirkuk (KRK) 
 92.70 H        1.580 LM21PH     Iraq Radio,As Samawah (MUT) 
                      LM16OI     Al Aan FM,East of Mosul (NNW) 
 92.80          0.600 LM30WM     Al-Nakhil Radio,Al Basrah (BSR) 
       H        0.300 LM22AO     Al-Hoda Radio,Karbala (KAB) 
                      LM23EH     Almada Radio,Baghdad  (BGH) 
                      LM30WM     Radio Quran from Basra,Al Basrah (BSR) 
 92.90 H        2.000 LM25EL     BBC WS Arabic,Kirkuk (KRK) 
                      LM25MP     BBC WS Arabic,Bazyan Mountain (i)
 93.00   0005                    Radio Al-Kafeel,Maysan (MYS) 
                      LM23EH     Voice of Iraq,Baghdad  (BGH) 
 93.10 V        1.000 LM16NH     Radio Dijla,Mosul=Mûsil (NNW) 
                1.000 LM25RN     Radio Dijla,Sulaimaniyah (SUL) 
                      LM23EH     The Holy Quran Radio from the Office of Endowments,Baghdad  (BGH) 
 93.30 H        1.000 LM14TN     ,Tikrit (ITU: Tekret) (SAD) (c)
       H        0.500 LM24BA     ,Balad/LSA Anaconda (SAD) (c)
       H        0.250 LM23PR     ,Kirkush (DIY) (c)
       H        0.250 LM15NS     ,Qayyarah/Q-West Air Base (NNW) (c)
                      LM30WM     Al-Merbad Radio,Al Basrah (BSR) 
                      LM22LA     Imam Hussain FM,Ad Diwaniyah (QAD) 
                      LM25DL     Kirkuk FM,Kirkuk (KRK) 
       V B933         LM30WM     Radio Al-Mirbad,Al Basrah (BSR) 
                                 Radio Dijla,Nineveh (NNW) 
                      LM13PK     Radio Sawt Alanbar Almostkala,Ramadi (ANB) 
                                 Radio Sawt Al Hawraa,Maysan (MYS) 
 93.50                LM23EH     Imam Hussain FM,Baghdad  (BGH) 
 93.60 H        0.300 LM26KG     unid,Ranya (SUL) 
                      LM21PH     Voice of America,As Samawah (MUT) 
 93.70                LM23EH     al Bilad Radio - Baghdad,Baghdad  (BGH) 
 93.90 V        1.000 LM16NH     Start FM,West of Mosul (NNW) 
                      LM13PK     Radio Ministry of the Interior,Ramadi (ANB) 
                                 Start FM,Nineveh (NNW) 
 94.00                LM23EH     Radio Ministry of the Interior,Baghdad  (BGH) 
                      LM16MU     Radio Shrara,Dohuk (DAH) 
 94.10                LM14TN     Radio Alqathara Tikrit,Tikrit (ITU: Tekret) (SAD) 
 94.20                LM22KH     Radio of the Republic of Iraq,Al Showmaly (BBL) 
                      LM25EL     Voice of the Lord,Kirkuk (KRK) 
 94.30   5000         LM25PN     Gorran Radio,Sulaimaniyah (SUL) 
                      LM26AE     Radio Al Salam,Irbil (ARB) 
                      LM23EH     Yaqeen FM - Baghdad,Baghdad  (BGH) 
 94.50                           Alahwar FM,Nasiriya (ITU: Nasrria) (DQR) 
                      LM16NH     Radio Almosul Hawana,Mosul=Mûsil (NNW) 
                      LM22AO     Radio Of Truth,Karbala (KAB) 
 94.60                LM30WM     Radio Nahrain,Al Basrah (BSR) 
                      LM25EL     Radio Nawa,Kirkuk (KRK) 
 94.70                LM30WM     Hona Albasra Radio,Al Basrah (BSR) 
