 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
         8000         KN02DP     Radio K4 Srpski,Pec (KOS) 
 99.40                KN02HJ     Radio Aktiv,Rahovec=Orahovac (KOS) 
 99.70 M 3B77  30.000 KN02LN     Radio Dukagjini,Golesh=Goles (KOS) 
100.00          0.700 KN02FJ     Radio Gjakova,Gjakovë=Dakovica (KOS) 
                0.300 KN01HW     Radio Bambus,Restelicë=Restelica (KOS) 
100.20                KN02NP     Radio 21,Prishtina=Pristina (KOS) 
100.30   D067         KN03JC     Radio Impuls ,Leposavic (KOS) 
100.40          0.050 KN02SJ     Radio Kompas,Gjilan=Gnjilane/Pasjan=Pasjane (KOS) (c)
100.70                KN02NM     Radio Campus,Lipjan=Lipljan (KOS) 
100.80                KN02KV     Radio K4 Shqip,Mitrovicë=Kosovska Mitrovica/Crnusha (KOS) 
100.90   FFFF         KN02RL     Radio Shqip FM,Gjilan=Gnjilane (KOS) 
101.00   560B   1.000 KN02NP     Radio France Internationale (RFI),Prishtina=Pristina (KOS) 
101.20          0.700 KN02NI     Radio Furtuna,Ferizaj=Urosevac (KOS) 
101.40                KN02GR     Radio AS ,Zveçan=Zvecan (KOS) 
101.60          0.050 KN02QI     Radio Klokot,Viti=Vitina/Kllokot=Klokot (KOS) 
101.90          0.500 KN02KV     Radio Kontakt Plus,Mitrovicë=Kosovska Mitrovica/Crnusha (KOS) 
102.00          0.700 KN02NI     Radio Festina,Ferizaj=Urosevac (KOS) 
102.20   5001   0.700 KN02OP     Radio Plus,Prishtina=Pristina (KOS) 
102.30   noPI         KN02IF     Radio Besa,Prizren (KOS) 
102.40                KN02SL     Radio Max ,Gjilan=Gnjilane/Silovo (KOS) 
102.50          0.050 KN02EP     Radio Gorazdevac,Gorazhdec=Gorazdevac (KOS) 
102.80 M 9228  30.000 KN02LN     Radio 21,Golesh=Goles (KOS) 
103.00                KN03JC     Radio Bubamara ,Leposavic (KOS) 
103.20                KN02OV     Radio Llapi,Podujevë=Podujevo (KOS) 
103.30                KN02RL     AFN PowerNet,Gnjilane (Monteith) (KOS) 
                      KN02RL     Radio Energji,Gjilan=Gnjilane (KOS) 
                      KN02FJ     Top Radio,Gjakovë=Dakovica (KOS) 
103.50   FFFF   1.000 KN02NP     Radio Urban FM,Prishtina=Pristina (KOS) 
103.70 H        1.000            Radio K4 Srpski,unknown (KOS) 
103.90   9228         KN02HK     Radio 21,Zatriq=Zatric (KOS) 
104.30   D201   0.300 KN02RL     Radio K4 Shqip,Gjilan=Gnjilane (KOS) 
104.40   5158         KN02IF     Radio Helix,Prizren (KOS) 
104.60          1.000 KN02KV     Radio Kosovska Mitrovica,Mitrovicë=Kosovska Mitrovica/Crnusha (KOS) 
104.80                KN02SL     Radio Puls,Gjilan=Gnjilane/Silovo (KOS) (c)
104.90          0.040 KN02NO     Radio Vitez,Pristina/Preoce (KOS) 
105.10                KN02DP     Radio Dukagjini,Pec (KOS) 
105.20   F2CC         KN02JI     Radio Maria,Suva Reka (KOS) 
105.70                KN02LT     Radio Vicianum,Vucitrn (KOS) 
105.80                           Radio 7 Kosova,Rrafshi i Dukagjinit (KOS) 
105.90                KN02QI     Radio Zëri I Pozheranit,Vitina/Pozaranje (KOS) 
106.00          0.700 KN02NP     ,Fushë Kosovë=Kosovo Polje (KOS) (c)
                      KN02NP     Radio 7 Kosova,Prishtina=Pristina (KOS) 
106.30          0.050 KN02HB     Radio Gora,Dragash=Dragas (KOS) 
                      KN02DP     Radio Dukagjini,Pec (KOS) 
106.60          0.050 KN02MF     Radio Borzani,Shtërpcë=Strpce/Brezovicë=Brezovica (KOS) 
106.90   noPI         KN02IF     Radio Andernach,Prizren (KOS) 
107.30   noPI         KN02IF     Radio Romano Avazo,Prizren (KOS) 
107.40   F2CC   0.050 KN02MQ     Radio Maria,Obilic (KOS) 
107.60                KN02JS     Radio Drenica,Skenderaj=Srbica (KOS) 
107.70   D202   0.300 KN02RL     Radio K4 Srpski,Gjilan=Gnjilane (KOS) 
107.90                           Radio 21,Rajoni I Mitrovicës (KOS) 
         D201         KN02IF     Radio K4 Shqip,Prizren (KOS) 
