 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.04                           LZ0SIX,Sofia KN12QP 
 89.10 V 8220   0.813 KN12TC     BNR Hristo Botev,Yakoruda/RRTS Trestenik (BLG) 
       V 8386   0.744 KN12PP     Z-Rock,Sofia/Hotel Kopitoto (SOF) 
       V 8382   0.500 KN22IB     Radio FM+,Plovdiv/Belashtitsa (PLD) 
 89.20 V 8210   1.000 KN23AA     BNR Horizont,Yablanitsa/RRTS Yablanitsa (LOV) 
       V 8210   0.794 KN31EV     BNR Horizont,Dervishka mogila (HSK) 
       V 8381   0.209 KN22WW     Radio 1,Elena/RRS Elena - Gorni Chukani (VLT) 
 89.30 V 837F   0.200 KN33WN     Radio Focus,Dobrich/Dramaticen Teatar-Korpus 2 (DOB) 
       V 804C   0.100 KN22QO     Radio Vis vitalis,Kazanlak/DK Arsenal (STZ) 
 89.40 V 8383   0.300 KN12NA     Radio Veselina,Blagoevgrad/RRS (BLG) 
 89.50 V 837F   1.000 KN33XF     Radio Focus,Varna/RRTS Frangata (VRN) 
       V 838B   0.753 KN12QQ     Radio Energy,Sofia/bul. Peyo K. Yavorov-TV kula [NURTS Yavorov] (SFG) 
       V 838B   0.630 KN22EC     Radio Energy,Pazardzik/RPTS VETS Aleko [Deva broadcast] (PZK) 
       V 8220   0.355 KN32OR     BNR Hristo Botev,Aytos/RRTS Hisarlaka (BUR) 
         838F   0.300 KN11UO     Bulgaria On Air,Gotse Delcev/Vodoprecistvatelna stantsia [Deva broadcast] (BLG) 
       V 8381   0.300 KN12IG     Radio 1,Kjustendil/Hisarlaka-RPTS Deva Brodkast (KYD) 
       V 837F   0.200 KN22HU     Radio Focus,Troyan/Balkanets (LOV) 
       H 837E   0.125 KN21SW     Radio N-Joy,Haskovo/RRTS Haskovo (HSK) 
       V 8042   0.050 KN33BI     Radio Antola,Popovo/s. Posabina (TGV) 
 89.60 V 8210   1.500 KN33VV     BNR Horizont,Koriten (DOB) 
         837F   0.382 KN33KG     Radio Focus,Shumen/RRS 1 [NURTS Shumen] (SHM) 
       V 8210   0.100 KN22SV     BNR Horizont,Tryavna/TVRS Tryavna-1 (GBV) 
 89.70   824D   2.000 KN12TG     Darik Radio,Samokov/RRS Borovets (SOF) 
       H 8220   0.500 KN11MS     BNR Hristo Botev,Kresna/RRTS Pastrets (BLG) 
       V 838F   0.118 KN22TL     Bulgaria On Air,Stara Zagora/NURTS Stara Zagora (STZ) 
 89.80 V 837E   0.314 KN23UC     Radio N-Joy,Veliko Tarnovo/RRTS Arbanasi (VLT) 
       V 8210   0.250 KN22AA     BNR Horizont,Velingrad/TVRS Straza (PZK) 
 89.90   839B   3.000 KN23XT     bTV Radio,Ruse/RRTS Levent tabija (RUS) 
       V 838F   1.000 KN23HJ     Bulgaria On Air,Pleven/kv. Druzba-RRTS Pleven (PLV) 
       V 837F   0.500 KN22IB     Radio Focus,Plovdiv/Belashtitsa (PLD) 
       V 8380   0.206 KN34PC     BG Radio,Silistra/RRS Medzit tabija [NURTS Silistra] (SIL) 
 90.00   8239   6.606 KN21RK     BNR Radio Kardzhali,Momchilgrad/NURTS Stramni rid (KZL) 
       H 806C   0.500 KN12QQ     Darik Nostalgie,Sofia/bul. Peyo K. Yavorov-TV kula [NURTS Yavorov] (SFG) 
       V 838F   0.300 KN13OJ     Bulgaria On Air,Montana/RTTS Mont 7 (MNT) 
         8220   0.250 KN12HU     BNR Hristo Botev,Tran/RRS Tran-1 (PNK) 
       V 837E   0.092 KN32OR     Radio N-Joy,Aytos/RRTS Hisarlaka (BUR) 
 90.10 V 8220  91.500 KN43EJ     BNR Hristo Botev,Kavarna/RPS Kaliakra (DOB) 
         8211   3.600 KN33KM     BNR Horizont/BNR Türkçe yayinlar,Shumen/RRTS Venets (SHM) 
 90.20 V 8210   3.000 KN32TJ     BNR Horizont,Burgas/Medni rid (BUR) 
       H 8046   1.170 KN11OI     Radio Bella,Petrich/Ilievska niva (BLG) 
         8210   1.000 KN21CW     BNR Horizont,Batak (PZK) (p)
       V 8210   1.000 KN31SX     BNR Horizont,Malko Tarnovo/TVRS Malko Tarnovo (BUR) 
       V 8383   0.450 KN12IG     Radio Veselina,Kjustendil/Sgrada na oblastnata ulrava (KYD) 
       H        0.250 KN32VF     ,Primorsko/RRTS Primorsko (BUR) (c)
 90.30 V 8236   5.000 KN34PC     BNR Radio Shumen,Silistra/RRS Medzit tabija [NURTS Silistra] (SIL) 
       V 8381   0.500 KN23UC     Radio 1,Veliko Tarnovo/NURTS Arbanasi (VLT) 
         837F   0.500 KN12MO     Radio Focus,Pernik/kv. Teva-blok 40 (PNK) 
       H 8382   0.250 KN22TL     Radio FM+,Stara Zagora/NURTS Stara Zagora (STZ) 
 90.40   8232   0.150 KN12QW     BNR Radio Sofia,Svoge/RRS Svoge-1 (SOF) 
         8045   0.100 KN22BR     Radio Aurea,Zlatitsa/vilna zona (SOF) 
