       V 5565   1.000 JN98HS     Radio WOW,Prievidza/Bojnice, hotel Sportcentrum (TN) 
       V 5962   0.250 KN08GP     Mirjam Radio,Roznava - Edelenyska 3 (KE) 
 90.60 V 5565   0.300 JN98JR     Radio WOW,Handlova/ul. Okruzna 1860/7 (TN) (p)
       V        0.250 JN98AH     ,Nitra/Komin Ferrenit (NR) (c)
       V 5355   0.050 JN88ME     Radio Best FM,Bratislava/Dubravka-J.Alexyho 1/A (BA) 
       V 5343   0.050 JN99KM     Radio Lumen,Skalite/Polana - stoziar MMDS (ZA) 
 90.70 V 5218   1.000 JN99TI     Radio Vlna,Namestovo-Trstena/Uhlisko (ZA) 
 90.80 H 521B  10.000 JN88UU     SRo 3 Radio Devin,Nove Mesto nad Vahom/Velka Javorina (TN) 
       H 5330   2.000 KN09ND     Radio Kosice,Presov/Lysa (PO) 
       V        1.000 JN99IG     ,Zilina/Povazský Chlmec-Na Hôrke (ZA) (c)
 90.90 H 5201  10.000 JN98PF     SRo 1 Radio Slovensko,Modrý Kamen/Spani Laz (BB) 
 91.00 H 521D   1.000 KN08KO     Radio Expres,Moldava nad Bodvou/Zarnov (KE) 
       V 5330   0.500 KN08UO     Radio Kosice,Trebisov - SNP 1079/76, Nemocnica (KE) 
       V        0.500 KN09DB     ,Poprad/Velka - vodaren (PO) (c)
       V 5355   0.151 JN98KO     Radio Best FM,Ziar nad Hronom/Sibenicný vrch I. (BB) 
 91.10 H 5218   1.000 JN99RC     Radio Vlna,Ruzomberok/Úlozisko (ZA) 
       V 5218   0.500 JN98ST     Radio Vlna,Brezno/Chvatimech (BB) 
       V        0.200 KN08AI     ,Rimavska Sobota/Martinov vrch (BB) (c)
 91.20 H 5201  10.000 JN98BI     SRo 1 Radio Slovensko,Nitra/Zobor (NR) 
       H 5201  10.000 KN18CX     SRo 1 Radio Slovensko,Snina/Magurica (PO) 
 91.30 V        0.500 JN98NS     ,Banska Bystrica/Kostiviarska-vodaren (BB) (c)
       V 50B5   0.251 KN08GP     Radio 7,Roznava/ul. Safarikova 116 (silo) (KE) 
 91.40 V 50E2   0.500 KN09PA     SKY Radio,Presov/FNsP J. A. Reimana - Monoblok (PO) 
       V        0.500 JN98KO     ,Ziar nad Hronom/Sibenicný vrch II. (vodarna) (BB) (c)
       V 5208   0.100 JN87TX     Radio Slovakia International,Samorin (TT) 
       V 5208   0.100 JN87TX     SRo 5 Radio Patria,Samorin (TT) 
 91.60 H 5340  10.000 JN98UG     Fun Radio,Lucenec/Blatný vrch (BB) 
       V 5355   0.500 JN88UO     Radio Best FM,Piestany/Vrbove-Pod Malou Pecou (Barani majer) (TT) 
 91.70 H 5560  10.000 JN97HU     SRo 2 Radio Regina,Sturovo/Modrý vrch (NR) 
       V 5202   0.600 JN99PF     SRo 4 Radio_FM,Dolný Kubin/Bysterec-vodaren (ZA) 
       V 5330   0.500 KN09DB     Radio Kosice,Poprad/komin Tatravagónka (PO) 
       V 5330   0.500 KN08PR     Radio Kosice,Kosice/Heringes II. (KE) 
       V 50B5   0.050 JN88ME     Radio 7,Bratislava - Dubravka, Hanulova 5/B (BA) 
 91.80 V 5202   0.500 JN99JK     SRo 4 Radio_FM,Cadca/Jurosovský vrch (ZA) 
       V        0.500 JN98AV     ,Trencin/Zablatie (TN) (c)
 91.90 H 5202   9.950 JN99SI     SRo 4 Radio_FM,Namestovo/Magurka (ZA) 
       V 5354   0.200 JN98EI     Radio Jemne,Zlate Moravce/Palarikova ulica (NR) 
 92.00 V 5218   0.500 JN98KO     Radio Vlna,Ziar nad Hronom/Sibenicný vrch I. (BB) 
 92.10 H 5071   0.250 JN88UE     Radio SiTy,Galanta/Drevena ulica (TT) 
 92.20 H 5201  30.000 KN08BV     SRo 1 Radio Slovensko,Poprad/Kralova hola (BB) 
       V 5201   0.500 JN99BA     SRo 1 Radio Slovensko,Dubnica nad Vahom/Kremenica (TN) 
       V 5201   0.050 KN09DI     SRo 1 Radio Slovensko,Velka Frankova/obec (PO) 
       V 5201   0.050 KN09DG     SRo 1 Radio Slovensko,Zdiar/Antosovský vrch TVP (PO) 
 92.30 V        0.200 JN98HE     ,Levice/Mýtne Ludany - rozhl. Vapnik (NR) (c)
       V 5071   0.020 JN88ME     Radio SiTy,Bratislava/Dubravka-J.Alexyho 1/A (BA) 
 92.40 H 5218   1.000 KN09TF     Radio Vlna,Stropkov/Bana - vrch Bana (PO) 
