 93.50   22FF         KM64FT     Deejay Radio,Paphos/Tsada (KYP-PAP) 
         22FF         KM64OV     Deejay Radio,Vavatsinia (KYP-LAR) 
 93.70   AAAA         KM64FT     Radio Paphos,Paphos/Tsada (KYP-PAP) 
                      KM64MS     Sports One,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         23FA         KM64TW     Star 93.7,Larnaca (KYP-LAR) 
 93.80                KM65WJ     Ada FM,Kantara/Sinan Dagi (KIB-MAG) 
         AAA9         KM65NH     Capital Radio 93.8,Lefkosa/Selvilitepe (KIB-GIR) 
 94.00   2203  10.000 KM64OV     CyBC-RIK Trito Prog.,Vavatsinia (KYP-LAR) 
       C 2203   7.000 KM64FT     CyBC-RIK Trito Prog.,Paphos/Tsada-RIK (KYP-PAP) 
 94.20 H 2202   4.000 KM75AA     CyBC-RIK Radio 2,Paralimni/Mt.Phanos (KYP-FAM) 
         2204   0.300 KM64EX     CyBC-RIK Tetarto Prog.,Drouseia=Dhrousha (KYP-PAP) 
                      KM65QF     Bayrak FM,Lefkosa/BRTK (KIB-LEF) 
 94.40   5158   3.000 KM65WJ     Radyo Vatan Türkü,Kantara/Sinan Dagi (KIB-MAG) 
         2299         KM64FT     NRJ Energy Radio Cyprus,Paphos/Tsada (KYP-PAP) 
         1045         KM64TX     NRJ Energy Radio Cyprus,Oroklini/Profitis Ilias (KYP-LAR) 
 94.50                KM64MS     Radio Apostolos Andreas,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 94.60   noPI   5.000 KM65NH     Bayrak Türk Müzigi,Lefkosa/Selvilitepe BRT (KIB-GIR) 
 94.80 C 2203  30.000 KM64KW     CyBC-RIK Trito Prog.,Mount Olympos (KYP-LEM) 
 95.00   22C8         KM64TX     Sport FM,Oroklini/Profitis Ilias (KYP-LAR) 
         22C8         KM64MS     Sport FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 95.10   9550         KM65WJ     Dance FM,Kantara/Sinan Dagi (KIB-MAG) 
 95.20   2001   0.500 KM64FT     Radio Cosmos,Paphos/Tsada (KYP-PAP) 
         2158         KM65QE     UCY Voice,Nicosia/UCY (KYP-NIC) 
 95.30 H FE02  25.000 KM65UA     BFBS Radio 2,Dhekelia/Richmond (KYP-LAR) 
 95.50 V 9550         KM65NH     Dance FM,Lefkosa/Selvilitepe (KIB-GIR) 
         22A9         KM64MS     Radio Paphos,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 95.70   22D9         KM64FT     Super FM,Paphos/Tsada (KYP-PAP) 
         22D9         KM64OV     Super FM,Vavatsinia (KYP-LAR) 
 96.00 H 2203   4.000 KM75AA     CyBC-RIK Trito Prog.,Paralimni/Mt.Phanos (KYP-FAM) 
         2203   0.300 KM64EX     CyBC-RIK Trito Prog.,Drouseia=Dhrousha (KYP-PAP) 
         A000         KM65NH     Radyo Mayis,Lefkosa/Selvilitepe (KIB-GIR) 
 96.10   9610         KM64MS     Capital Russian Radio,Lemesos(Limassol) / Fasoula (KYP-LEM) 
                      KM64FS     Radio Lysos,Paphos=Pafos (KYP-PAP) (i)
 96.20   FFFF         KM65NH     Ada FM,Lefkosa/Selvilitepe (KIB-GIR) 
 96.40   2201         KM64FT     Zenith FM,Paphos/Tsada (KYP-PAP) 
       V 2201         KM64OV     Zenith FM,Vavatsinia (KYP-LAR) 
 96.60          0.200 KM65WJ     First FM,Kantara/Sinan Dagi (KIB-MAG) 
         noPI         KM65NH     Radyo T,Lefkosa/Selvilitepe (KIB-GIR) 
 96.80   2968         KM64FT     Radio Sfera Kyprou,Paphos/Tsada (KYP-PAP) 
         2968         KM64OV     Radio Sfera Kyprou,Vavatsinia (KYP-LAR) 
 97.00   2197         KM64TX     Ola 97.0 FM,Oroklini/Profitis Ilias (KYP-LAR) 
         BC12         KM65NH     Sara FM,Lefkosa/Selvilitepe (KIB-GIR) 
 97.20 C 2215  30.000 KM64KW     CyBC-RIK Proto Prog.,Mount Olympos (KYP-LEM) 
 97.40   noPI         KM65NH     LAÜ FM,Lefkosa/Selvilitepe (KIB-GIR) 
 97.50   1000   1.000 KM65WJ     UNID,Kantara/Sinan Dagi (KIB-MAG) 
                      KM65WJ     Diyanet Radyo,Kantara/Sinan Dagi (KIB-MAG) 
 97.60   2276   0.080 KM64EX     Politis 107.6,Drouseia=Dhrousha (KYP-PAP) 
         2276         KM75AA     Politis 107.6,Paralimni/Mt.Phanos (KYP-FAM) 
         2276         KM64MS     Politis 107.6,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         2276         KM64OV     Politis 107.6,Vavatsinia (KYP-LAR) 
 97.70   noPI         KM65NH     Sokak FM,Lefkosa/Selvilitepe (KIB-GIR) 
 97.90   2202  10.000 KM64OV     CyBC-RIK Radio 2,Vavatsinia (KYP-LAR) 
       C 2202   7.000 KM64FT     CyBC-RIK Radio 2,Paphos/Tsada-RIK (KYP-PAP) 
 98.10 C noPI  10.000 KM65WJ     Bayrak FM,Kantara/Sinan Dagi BRT (KIB-MAG) 
 98.20   2296         KM64FT     Klik FM,Paphos/Tsada (KYP-PAP) 
 98.40   7777         KM64OV     Kanali 7,Vavatsinia (KYP-LAR) 
 98.50   20E9         KM64FT     Rock FM,Paphos/Tsada (KYP-PAP) 
 98.60          1.000 KM65NH     Sim FM,Lefkosa/Selvilitepe (KIB-GIR) 
         22F2         KM64MS     Kanali Exi,Lemesos(Limassol) / Fasoula (KYP-LEM) 
 98.80   22A9   0.082 KM64EX     Radio Paphos,Drouseia=Dhrousha (KYP-PAP) 
         22A9         KM64OV     Radio Paphos,Vavatsinia (KYP-LAR) 
 98.90                KM65NH     Capital Türk,Lefkosa/Selvilitepe (KIB-GIR) 
 99.00   2299         KM64KW     NRJ Energy Radio Cyprus,Mount Olympos (KYP-LEM) 
         2299         KM65PB     NRJ Energy Radio Cyprus,Lefkosia/Tseri (KYP-NIC) 
         2299         KM64MS     NRJ Energy Radio Cyprus,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         A000         KM64TW     Radio 99 FM,Larnaca/Leoforos Gkiani Tir. (KYP-LAR) 
                      KM65QE     ,Nicosia (KYP-NIC) (c)
 99.10                KM65NH     NRG Radio,Lefkosa/Selvilitepe (KIB-GIR) 
 99.30   22D8         KM64KW     Radio Proto,Mount Olympos (KYP-LEM) 
 99.50   2260         KM65PB     NJOY Radio,Lefkosia/Tseri (KYP-NIC) 
 99.60 H FE01  25.000 KM65UA     BFBS Cyprus,Dhekelia/Richmond (KYP-LAR) 
 99.80   noPI         KM64EX     Kanali 7,Drouseia=Dhrousha (KYP-PAP) 
         AFFA         KM65WJ     Radyo Juke,Kantara/Sinan Dagi (KIB-MAG) 
 99.90   22FF         KM64MS     Deejay Radio,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         22E7         KM65QE     TOP FM,Nicosia (KYP-NIC) 
100.10   noPI  10.000 KM65NH     Bayrak Radyo Haber,Lefkosa/Selvilitepe BRT (KIB-GIR) 
         22FF         KM75AA     Deejay Radio,Paralimni/Mt.Phanos (KYP-FAM) 
100.30   22FD         KM64MS     Dromos FM,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         22E7         KM64FT     Russkoe Radio,Paphos/Tsada (KYP-PAP) 
100.40 V 2280   5.000 KM65NH     Radyo Vatan Nihavent,Lefkosa/Selvilitepe (KIB-GIR) 
100.50   22E7   0.130 KM64EX     Russkoe Radio,Drouseia=Dhrousha (KYP-PAP) 
         22FD         KM64OV     Dromos FM,Vavatsinia (KYP-LAR) 
100.70   2209         KM64FT     Love FM,Paphos/Tsada (KYP-PAP) 
         2209         KM64OV     Love FM,Vavatsinia (KYP-LAR) 
100.90   2204   4.000 KM75AA     CyBC-RIK Tetarto Prog.,Paralimni/Mt.Phanos (KYP-FAM) 
         2202   0.300 KM64EX     CyBC-RIK Radio 2,Drouseia=Dhrousha (KYP-PAP) 
101.10   1011         KM64KW     Diesi,Mount Olympos (KYP-LEM) 
101.30   noPI         KM65WJ     Radyo Mayis,Kantara/Sinan Dagi (KIB-MAG) 
101.40   9610         KM64OV     Capital Russian Radio,Vavatsinia (KYP-LAR) 
         9610         KM64FT     Capital Russian Radio,Paphos/Tsada (KYP-PAP) 
101.50 H 3214   5.000 KM65NH     TRT-FM,Lefkosa/Selvilitepe (KIB-GIR) 
101.60   1011         KM64FT     Diesi,Paphos/Tsada (KYP-PAP) 
101.70   1011         KM64OV     Diesi,Vavatsinia (KYP-LAR) 
101.80   0003         KM65NH     Radyo Fog,Lefkosa/Selvilitepe (KIB-GIR) 
101.90 V 1011         KM64EX     Diesi,Drouseia=Dhrousha (KYP-PAP) 
         1019         KM64MS     Radio Agios Dimitrios,Lemesos(Limassol) / Fasoula (KYP-LEM) 
102.00 V 2285  20.000 KM65NH     Bayrak Radyosu,Lefkosa/Selvilitepe BRT (KIB-GIR) 
102.10   7777         KM64MS     Kanali 7,Lemesos(Limassol) / Fasoula (KYP-LEM) 
         7777         KM64FT     Kanali 7,Paphos/Tsada (KYP-PAP) 
         22E7         KM64TW     Russkoe Radio,Larnaca (KYP-LAR) 
102.30   1023         KM64FT     Mix FM,Paphos/Tsada (KYP-PAP) 
         1023         KM65QE     Mix FM,Nicosia (KYP-NIC) 
         1023         KM64OV     Mix FM,Vavatsinia (KYP-LAR) 
102.50   2074   1.650 KM75AA     Active Radio,Paralimni/Mt.Phanos (KYP-FAM) 
         2F88   1.000 KM65NH     Bayrak Klasik,Lefkosa/Selvilitepe BRT (KIB-GIR) 
102.70   2266         KM64FT     ANT1 Radio,Paphos/Tsada (KYP-PAP) 
         2266         KM64OV     ANT1 Radio,Vavatsinia (KYP-LAR) 
102.90   3FDE         KM65NH     Play FM,Lefkosa/Selvilitepe (KIB-GIR) 
103.00   2296         KM75AA     Klik FM,Paralimni/Mt.Phanos (KYP-FAM) 
103.10   noPI         KM65NH     Radyo ODTU,Lefkosa/Selvilitepe (KIB-GIR) 
         22E7         KM64MS     Russkoe Radio,Lemesos(Limassol) / Fasoula (KYP-LEM) 
103.20   2257         KM64KW     Russkaja Wolna=Russian Wave,Mount Olympos (KYP-LEM) 
