       H 4201   0.050 KN11LO     Makedonsko Radio 1 - Radio Skopje,Dvoriste 2 (VA) 
         4201         KN01LQ     Makedonsko Radio 1 - Radio Skopje,Srbinovo (PO) 
       H 4201         KN12HA     Makedonsko Radio 1 - Radio Skopje,M. Kamenica (EA) 
         4203         KN01PI     Makedonsko Radio 3 (Treta prog.),Krusevo (PE) 
                      KN01JC     Radio Lav,Ohrid/SRC Biljanini izbori (SW) 
 91.60                KN11GI     Radio Valandovo,Valandovo/Manastir Sveti Gjorgju (SE) 
 91.70                KN11CO     Radio Energy,Serta (EA) 
 91.90   4221   0.500 KN01UU     Radio Antenna 5,Veles/Crn Vrv (VA) 
         4221         KN01QA     Radio Antenna 5,Bitola/Tumbe Kafe (PE) 
 92.00 H 4203   0.500 KN01LV     Makedonsko Radio 3 (Treta prog.),Suva Gora (PO) 
         4221   0.250 KN01JB     Radio Antenna 5,Ohrid/Konjsko (SW) 
         4203         KN11GN     Makedonsko Radio 3 (Treta prog.),Kalugerica (MRD) (SE) 
 92.10 H 4201   5.000 KN12EE     Makedonsko Radio 1 - Radio Skopje,Kriva Palanka (NE) 
       H 4203   0.500 KN12AD     Makedonsko Radio 3 (Treta prog.),Stracin (NE) 
 92.30 H 4201   5.000 KN01OA     Makedonsko Radio 1 - Radio Skopje,Bitola/Pelister (PE) 
       H 42C9         KN11LS     Kanal 77,Bukovik (EA) 
 92.50 H 4201   0.200 KN02UD     Makedonsko Radio 1 - Radio Skopje,Kumanovo (NE) 
         D220         KN11GD     Metropolis Radio Network,Gevgelija/Mrzenski Rid (SE) 
 92.60   4203         KN01NV     Makedonsko Radio 3 (Treta prog.),Sedlarevo (PO) 
 92.90 H 4221   1.000 KN01OA     Radio Antenna 5,Bitola/Pelister (PE) 
                0.100 KN01QX     Student FM,Skopje/Sredno Vodno (SK) 
         4221                    Radio Antenna 5,Faris 
         4221         KN01IP     Radio Antenna 5,Mavrovo 2 (PO) 
 93.00 V 4202   0.500 KN01JR     Makedonsko Radio 2 (Vtora prog.),Koza (p)
