100.10 V        5.000 LL63SS     Abu Dhabi FM,Habshan (ABD) 
       V        4.000 LL74VB     Star FM,Al-Ain/Jebel Hafit (ABD) 
100.30 V 23A5   1.000 LL75UO     Jio FM,Umm Al-Qaiwain (UAQ) 
100.50 V A707   1.000 LL74HH     Emirates Radio 1,Abu Dhabi/Mahawi (ABD) 
100.90 V 1009   5.000 LL75PF     Al Khaleejiya,Dubai/Emirates Tower (DUB) 
101.30 V D2D5   1.000 LL75RK     Gold 101.3 FM,Ajman (AJM) 
101.60 V 1016   5.000 LL75PF     City 1016,Dubai/Emirates Tower (DUB) 
101.80 V        8.000 LL75XT     RAK FM,Ras Al-Khaimah (RAK) 
101.90 V        4.000 LL74VB     ,Al-Ain/Jebel Hafit (ABD) (p)
102.00   A717   1.000 LL75OD     Pearl FM,Dubai/Jumeirah (DUB) 
       V        1.000            ,Nad Al Sheba (DUB) (p)
102.40   F205         LL75PG     Suno 102.4,Dubai (DUB) 
102.60 V        1.000 LL64HE     ,Jebel Dhana (ABD) (p)
102.70 V D034   1.000 LL75QH     Sharjah Quran Radio Station,Sharjah/Al Khan (SHJ) 
102.80   D034         LL85EI     Sharjah Quran Radio Station,Khor Fakkan (FJR) 
102.90 V        4.000 LL74VB     ,Al-Ain/Jebel Hafit (ABD) (p)
                                 Noor Dubai,unknown 
103.50 V F305  20.000 LL75VP     RAK FM,Al Jazirah Al Hamra (RAK) 
103.70 V        5.000 LL63VD     Abu Dhabi FM,Liwa Oasis (ABD) 
103.80 V 1038   5.000 LL75PF     Dubai Eye,Dubai/Emirates Tower (DUB) 
103.90                LL85CE     Al Emarat FM,Fujairah (FJR) 
104.10 V A715  10.000 LL75NA     Emirates Radio 1,Dubai/Jebel Ali Teleport (DUB) 
       V        0.050 LL85BH     Emirates Radio 1,Masafi (FJR) 
104.40 V 1044   5.000 LL75PF     Virgin Radio,Dubai/Emirates Tower (DUB) 
104.60   A801                    SEHA,Abu Dhabi/Zayed Sports City (ABD) 
104.80 V D2C4   1.000 LL75RK     Channel 4 FM,Ajman (AJM) 
105.20 V       10.000 LL75XT     Al-Quran al-Karim,Ras Al-Khaimah (RAK) 
       V        4.000 LL74VB     Abu Dhabi Classic FM,Al-Ain/Jebel Hafit (ABD) 
       V        1.000 LL74HH     Sawt Al-Khaleej FM,Abu Dhabi/Mahawi (ABD) 
105.40 V        1.000 LL85CE     Radio Spice 105.4,Fujairah (FJR) 
106.00 V A708   1.000 LL74HH     Emirates Radio 2,Abu Dhabi/Mahawi (ABD) 
                      LL85CE     Abu Dhabi FM,Fujairah (FJR) 
106.20 V D2A4   1.000 LL75UO     Big FM,Umm Al-Qaiwain (UAQ) 
         FFFD         LL75PG     BIG FM,Dubai (DUB) 
106.50 V        1.000 LL75OD     ,Dubai/Jumeirah (DUB) (c)
         22A5         LL75UO     Radio Gilli,Umm Al-Qaiwain (UAQ) 
106.70 V        4.000 LL74VB     ,Al-Ain/Jebel Hafit (ABD) (p)
107.00 V        5.000 LL64HE     ,Jebel Dhana (ABD) (p)
107.10   1E83         LL75PG     Heart FM,Dubai (DUB) 
107.40   1074         LL75PG     Al Oula Radio,unknown (DUB) 
107.50          0.500 LL75PG     ,Dubai (DUB) (c)
107.60 V        4.000 LL74VB     Sharjah Radio,Al-Ain/Jebel Hafit (ABD) 
                      LL85DO     Sharjah Radio,Dibba Al Hisn (SHJ) 
107.70 V        1.000 LL85CB     Sharjah Radio,Kalba (FJR) 
107.80 V D2A4   1.000 LL75RK     Radio Rabia,Ajman (AJM) 
