       V 1083   6.300 KN10CL     Energy 88.3,Veroia/Kypseli (CMC-IMA) 
       V        5.000 KN20EW     Melodia 88.3 (Kavala),Kavala/Vasilaki (EMC-KAV) 
       V 1088   5.000 KM08QL     Radiofono Xiromerou,Agrinio/Arakynthos (WGR-AIT) 
       V 10FF   1.900 KN20VV     Heat 88.3 FM,Alexandroupolis/Plaka (EMC-EVR) 
       V        1.500 KM18TA     Meraki 88.3,Athina/Pyrovoleia (ATT-ATH) 
       V        1.000 KM08LT     Radiofono Xiromerou,Akarnanika/Perganti (WGR-AIT) 
       V        0.100 KN10MO     Radio Agapi,Thessaloniki/Botsari/1 Nastou st. (CMC-TSK) (t)
       V 109A         KN10FF     Viva FM 88,3,Katerini/Kontariotissa (CMC-PIE) 
 88.40 H 1201  35.000 KM36XG     ERA 1 Proto Programma,Rodos/Profitis Ilias (SEG-DOD) 
       V        4.000 KM25MI     88.4 Sto Kokkino,Iraklion/Rogdia (KRT-IRA) 
       V A884   1.000 KM09XS     Radio Elassona,Elassona/Verdikoussa (THE-LAR) 
 88.50 V 8850   5.000 KM08WG     Iera Mitropoli Patron,Patra/Panahaiko (WGR-AKH) 
       V        4.000 KN10NO     88 miso,Thessaloniki/Hortiatis (CMC-TSK) 
                      KM16EQ     Asteri FM,Sparti/Areopoli (PEL-LAC) 
 88.60 H 1201 100.000 KN00QP     ERA 1 Proto Programma,Florina & Kastoria/Vitsi (WMC-FLO) 
       V 229C  30.000 KM17VX     Legend 88.6,Athina/Ymittos (ATT) 
       V F886   5.000 KM19MJ     Lampsi FM 88.6,Volos/Mt. Pilion/Pyrgaki (THE-MAG) 
       V        2.000 KN20EW     Alpha Radio 88,6,Kavala/Vasilaki (EMC-KAV) 
       V 1104   1.000 KM07LS     Island FM 88.6,Zakynthos/Skopos (ION-ZAK) 
         5DBF   1.000 KM06WW     Kanali 20 FM,Kalamata/Likodimo/Petalidi (PEL-MES) 
       V        1.000 KM07WF     Kanali 20 FM,Kiparissia/Aetos (PEL-MES) 
       V        1.000 KM17SS     Legend 88.6,Athina/Aegina (ATT-PIR) 
       V        0.400 KM25GH     Talos FM,Rethymno/Charkia (KRT-RET) 
 88.70 H 1202  35.000 KM18KU     ERA 2 Deutero Programma,Evia-Lamia/Lihada (CGR-EVV) 
       V        1.000 KM25MI     Kritikos 88.7,Iraklion/Rogdia (KRT-IRA) 
         5000         KN10OV     Sohos FM,Sohos/Agios Hristoforos (CMC-TSK) 
 88.80 V 1088   8.000 JM99WS     Star FM 88,8,Kerkyra/Mt. Pantokratoras (ION-KER) 
       V 8880   6.400 KM08WG     Melody FM 88,8,Patra/Panahaiko (WGR-AKH) 
       V 10FC   2.000 KN20VV     Focus FM 88.8 (Alexandroupoli),Alexandroupolis/Plaka (EMC-EVR) 
       V 8800   2.000 KM25BL     Gavdos FM 88.8,Hania/Malaxa (KRT-KHA) 
       V A5F3   2.000 KN11TC     Zenith FM 88.8,Serres/Agios Ioannis-Kagias (CMC-SER) 
       V        1.000 KM24AT     Gavdos FM 88.8,Gavdos/Gavalas (KRT-KHA) 
       V A01E   1.000 KN21KD     Star 88.8 FM Xanthi,Xanthi/Moni Panagias (EMC-XAN) 
       V F888   0.500 KM09SP     Loud 88.8,Kalampaka/Koromilia (THE-TRI) 
                      KN31DA     Focus FM 88.8 (Alexandroupoli),Tychero (EMC-EVR) 
                      KN31DE     Focus FM 88.8 (Alexandroupoli),Soufli (EMC-EVR) 
                      KN10EX     Iera Mitropoli Goumenissis, Axioupolis,Kilkis/Kastaneri/Profitis Ilias (CMC-KIL) 
                      KM16LT     Iera Mitropoli Monemvasias/Sparti,Sparti/Sikea-Koulohera (PEL-LAC) 
                      KM17EA     Iera Mitropoli Monemvasias/Sparti,Sparti/Anavriti (PEL-LAC) 
 88.90 H 1201 100.000 KM08LT     ERA 1 Proto Programma,Akarnanika/Perganti [ERT] (WGR-AIT) 
       V 1889  54.000 KM17VX     Hit FM 88.9,Athina/Ymittos (ATT) 
       V 1889   1.000 KM17SS     Hit FM 88.9,Athina/Aegina (ATT-PIR) 
       V        1.000 KN21BD     NRG Radio,Drama/Korylovos (EMC-DRA) 
 89.00 V 102A  20.000 KN10NO     89 Rainbow,Thessaloniki/Hortiatis (CMC-TSK) 
       H 1202   6.000 KM35AE     ERA 2 Deutero Programma,Chamezi (KRT-LAS) 
         1010   1.000 KM06WW     Kiss FM,Kalamata/Likodimo/Petalidi (PEL-MES) 
       V        0.500 KM09EP     Radio Driinoupoli,Filiates/Farmakovouni (EPI-THP) 
       V        0.400 KM09KQ     Radio Driinoupoli,Ioannina/Ligkiades (EPI-IOA) 
         102A         KN10TQ     89 Rainbow,Asprovalta-Stavros/Psili Rachi (CMC-TSK) 
                      KM19CR     Radio Cocktail 89.0 FM,Tyrnavos/Sidiropalouko (THE-LAR) 
                      KN00JB     Radio Driinoupoli,Konitsa/Profitis Ilias (EPI-IOA) 
 89.10 V A000   7.500 KM18SL     Home 89,1,Evvoia/Chalkida/Ktypas (CGR-EVV) 
       V FFFF   4.000 KM18LA     Epikoinonia FM 89.1,Korinthos/Ossios Patapios (PEL-KOR) 
       H 1401   3.000 KM37DP     ERA Diktyo Boreiou Aigaiou,Ikaria/Agios Kirikos (NEG-SAM) 
       V 1060   2.500 KM25FH     Matzore 89.1,Rethymno/Spathi (KRT-RET) 
 89.20 V 1892  40.000 KM17VX     Music 89,2,Athina/Ymittos (ATT) 
         1201  32.000 KN20VV     ERA 1 Proto Programma,Alexandroupolis/Plaka [ERT] (EMC-EVR) 
       V 8920   5.000 KN10FE     Dionysos 89.2,Katerini/Vrontou (CMC-PIE) 
       V F892   5.000 KM09SP     Rythmos FM 89.2,Kalampaka/Koromilia (THE-TRI) 
       V 1019   2.500 KM25MI     Metro Radio 89.2,Iraklion/Rogdia (KRT-IRA) 
