 89.80 V 8417  25.119 JO22RM     Omroep Flevoland,Lelystad/Cellnex Toren (FLE) 
       V 82A8   0.210 JO21VU     Sublime,Nijmegen/Ambachtsweg (GEL) 
       V 845A   0.200 JO22EC     Amor FM,Den Haag/Cellnex Toren (ZHO) 
       V 8888   0.200 JO33MD     Low Power FM,Winschoten/Nassaustraat (GRO) (p)
 89.90 V 8421   1.000 JO32LR     RADIONL,Emmen/Bedrijvenpark-A37 (DRE) 
       V 8331   0.600 JO32BF     Radio Continu,Deventer/Cellnex Mast (OVE) 
       V 8203   0.050 JO23OI     NPO 3FM,West-Terschelling/Brandaris (FRI) 
       V 85B0   0.040 JO22HJ     Haarlem105,Haarlem/Cellnex Toren (NHO) 
       V              JO32BD     ,Zutphen/Hoven (GEL) (c)
 90.00 V 83D3  17.000 JO21NO     100% NL,Loon op Zand/Cellnex Toren (NBR) 
       V 83D3   1.000 JO11SK     100% NL,Vlissingen/Arion Hotel (ZEE) 
       V 829A   0.500 JO22ID     Studio Alphen,Alphen aan den Rijn/Wederikstraat (ZHO) 
       V 8457   0.400 JO32LH     Tukker FM,De Lutte/Bentheimerstraat (OVE) 
       V 8888   0.050 JO21UX     Low Power FM,Wageningen/Bemonte Residence (GEL) (p)
       V 82A5   0.020 JO22JO     SLAM!,Alkmaar/Cellnex Mast (NHO) 
 90.10 V 8047   1.300 JO22LI     247Spice,Diemen/Rode Kruislaan (NHO) 
       V 8421   0.400 JO21SS     RADIONL,Oss/Spaanderstraat (NBR) 
       V 82A5   0.400 JO22MV     SLAM!,Wieringerwerf/Robbenoordbos (NHO) 
 90.20 V 83D3  50.000 JO21FM     100% NL,Roosendaal/Cellnex Toren (NBR) 
       V 8888   1.000 JO22XF     Low Power FM,Apeldoorn/Het Nieuwe Kantoor (GEL) (p)
       V 89B1   0.100 JO21XM     Omroep Venray,Venray/De Hoge Beek (LIM) 
       V C095   0.030 JO20XW     BFBS Radio,Brunssum/Afnorth RHQ (LIM) 
 90.30 V 82A8   4.900 JO33JD     Sublime,Hoogezand/Nieuwe Compagnie (GRO) 
       V 8421   2.100 JO21SK     RADIONL,Eindhoven/PNEM Mast (NBR) 
       V 8082   0.400 JO22RM     Radio Lelystad,Lelystad/Zuiderwagenplein (FLE) 
       V 82A8   0.030 JO22EC     Sublime,Den Haag/Cellnex Toren (ZHO) 
 90.40 V 82A8  25.000 JO22NP     Sublime,Hoorn/Electronweg (NHO) 
       V 8415   7.100 JO32FC     Radio Gelderland,Ruurlo/New Novec mast (GEL) 
       V 82A8   0.048 JO22NG     Sublime,Hilversum/Media Park (NHO) 
 90.50 V 82A8  14.000 JO32EV     Sublime,Smilde/Cellnex Toren (DRE) 
       M 82A8   7.100 JO21FV     Sublime,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
       V 8421   4.370 JO21UK     RADIONL,Helmond/BZOB Gebouw (NBR) 
       V 82A8   0.063 JO21WX     Sublime,Arnhem/TenneT Toren (GEL) 
       C 83D3   0.050 JO11WM     100% NL,Goes/Cellnex Toren (ZEE) 
 90.60 V 808D   0.130 JO21WS     Omroep Berg en Dal,Groesbeek/Nijmegsebaan (GEL) 
 90.70 V 82A8  50.000 JO22MA     Sublime,IJsselstein/Gerbrandytoren (UTR) 
       V 82A8   5.800 JO32KF     Sublime,Enschede/Sesamstraat (OVE) 
 90.80 V 8413   3.000 JO32EV     Radio Drenthe,Smilde/Cellnex Toren (DRE) 
       V 82A8   2.000 JO11WH     Sublime,Terneuzen/Zevenaarhaven (ZEE) 
 90.90 V 8203 100.000 JO21XE     NPO 3FM,Roermond/Cellnex Toren (LIM) 
       V 82A5   0.500 JO21WX     SLAM!,Arnhem/TenneT Toren (GEL) 
 91.00 V 831C  15.000 JO21FM     Omroep Brabant,Roosendaal/Cellnex Toren (NBR) 
       V 82A5  10.000 JO22UV     SLAM!,Tjerkgaast/Cellnex Toren (FRI) 
       V 82A5   1.300 JO32FF     SLAM!,Markelo/Cellnex Toren (OVE) 
 91.10 V 82A5  40.000 JO22NG     SLAM!,Hilversum/Media Park (NHO) 
       V 83D2   1.600 JO20TU     Radio 10,Maastricht/Cellnex Toren (LIM) 
       V FFFF   1.000 JO21UN     Centraal FM,Gemert-Bakel/JC de Bunker (NBR) 
 91.20 V 82A5   4.000 JO23VC     SLAM!,Jirnsum/Rijksweg (FRI) 
       V 83D1   0.250 JO21PP     BNR Nieuwsradio,Vught/Eikendonck (NBR) 
 91.30 M 83D1  35.000 JO21FV     BNR Nieuwsradio,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
       V 83D1   1.300 JO21NN     BNR Nieuwsradio,Tilburg/Schouwburgring (NBR) 
       V 83BE   1.100 JO33JD     Simone FM,Hoogezand/Nieuwe Compagnie (GRO) 
       V 83BE   1.000 JO33LA     Simone FM,Stadskanaal/Willem Drenthlaan (GRO) 
 91.40 V 8204  80.000 JO32FF     NPO Radio 4,Markelo/Cellnex Toren (OVE) 
 91.50 V 83D1  11.000 JO20XU     BNR Nieuwsradio,Eys/Cellnex Toren (LIM) 
       V 83D1   3.160 JO11TI     BNR Nieuwsradio,Biervliet/Driewegenweg (ZEE) 
       V 83D1   0.600 JO21HS     BNR Nieuwsradio,Dordrecht/Inter Rice Silo (ZHO) 
       V 83D1   0.010 JO21FM     BNR Nieuwsradio,Roosendaal/Cellnex Toren (NBR) 
 91.60 V 83E1   3.700 JO22KI     Radio Veronica,Amsterdam/Cellnex Toren (NHO) 
       V 8ABC   0.130 JO21UQ     L-FM,Zeeland/Oventje (NBR) 
 91.70 V E2CF   0.302 JO22QA     Radio 90FM,Leersum/AZC (UTR) 
 91.80 V 8201  90.000 JO32EV     NPO Radio 1,Smilde/Cellnex Toren (DRE) 
       V 8094   4.000 JO21FV     FunX,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
 91.90 V 831C   2.000 JO21NO     Omroep Brabant,Loon op Zand/Cellnex Toren (NBR) 
       V 83D3   1.100 JO31CI     100% NL,Venlo/Casinoweg (LIM) 
       V        0.250 JO31BI     ,Blerick/Molenbossen (LIM) (c)
       V 8888   0.200 JO31BW     Low Power FM,Zevenaar/Hengelder (GEL) (p)
 92.00 V 80FB   0.400 JO22NG     NH Gooi,Hilversum/Media Park (NHO) 
       V 83D3   0.200 JO22HK     100% NL,IJmuiden/IJmond Stadion (NHO) 
       V 8072   0.144 JO22EC     Den Haag FM,Den Haag/Cellnex Toren (ZHO) 
 92.10 V 83D3  10.000 JO20WV     100% NL,Hulsberg/Emmaberg (LIM) 
       V 88C0   0.200 JO21KU     Klokradio,Molenaarsgraaf/Polderweg Oost (ZHO) 
       V 8201   0.070 JO21FM     NPO Radio 1,Roosendaal/Cellnex Toren (NBR) 
       V 8204   0.060 JO21WX     NPO Radio 4,Arnhem/TenneT Toren (GEL) 
 92.20 V 8411  25.000 JO23VC     Omrop Fryslan Radio,Jirnsum/Rijksweg (FRI) 
       V A000   0.080 JO21GX     Lansingerland FM,Bergschenhoek/Leeuwenhoekweg (ZHO) 
 92.30 V        1.000 JO32GH     Radio 350,Rijssen/De Koerbelt (OVE) 
       V 8331   0.400 JO32LT     Radio Continu,Emmen/Emmerhout (DRE) 
       V 8202   0.070 JO21TK     NPO Radio 2,Mierlo/Cellnex Toren (NBR) 
       V 8202   0.030 JO22KI     NPO Radio 2,Amsterdam/Cellnex Toren (NHO) 
 92.40 V 8421   8.000 JO11WF     RADIONL,Westdorpe/Verkavelingsweg (ZEE) 
       V 8331   4.000 JO33JD     Radio Continu,Hoogezand/Nieuwe Compagnie (GRO) 
       V 8331   2.200 JO32FM     Radio Continu,Ommen/Besthmenerberg (OVE) (p)
       V 8331   1.000 JO32EM     Radio Continu,Ommen/Van Reeuwijkstraat (OVE) 
 92.50 V 8411   0.900 JO32EV     Omrop Fryslan Radio,Smilde/Cellnex Toren (DRE) 
       V 8009   0.100 JO21XH     Omroep P&M,Panningen/Schout van Merwijckstr. (LIM) 
 92.60 V 8202  70.000 JO22MA     NPO Radio 2,IJsselstein/Gerbrandytoren (UTR) 
       V 8331   0.400 JO33JA     Radio Continu,Eext/Gieterstraat (DRE) 
 92.70 V 8331   0.160 JO32FP     Radio Continu,Zuidwolde/Industrieweg (DRE) 
 92.80 V 8473   0.500 JO22WW     Waterstad FM,Heerenveen/Munt flat Lansicht (FRI) 
 92.90 V 8202  17.000 JO22MV     NPO Radio 2,Wieringerwerf/Robbenoordbos (NHO) 
       V FFAA   1.000 JO31BN     Maasland Radio,Wellerlooi/Rosarium (LIM) 
       V 83E0   0.500 JO21SI     Radio Horizon,Leende/Bos (NBR) 
       V 83BE   0.400 JO33HE     Simone FM,Groningen/Gideonweg (DVB-T Mast) (GRO) 
       V 8202   0.117 JO21FV     NPO Radio 2,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
       V 8202   0.060 JO21WX     NPO Radio 2,Arnhem/TenneT Toren (GEL) 
       V 8202   0.040 JO22EC     NPO Radio 2,Den Haag/Cellnex Toren (ZHO) 
 93.00 V 83D2  13.000 JO11WF     Radio 10,Westdorpe/Verkavelingsweg (ZEE) 
       V 83BE   1.600 JO33GA     Simone FM,Assen/Havenkade (DRE) 
       V        1.000 JO32CQ     RTV Meppel,Meppel/B van der Helststraat (DRE) 
       V 83BE   0.200 JO33MD     Simone FM,Winschoten/Nassaustraat (GRO) 
 93.10 V 8416   4.000 JO22MA     Radio M Utrecht,IJsselstein/Gerbrandytoren (UTR) 
       V 8421   1.600 JO32FM     RADIONL,Ommen/Vermeerstraat (OVE) 
       V 82A5   1.000 JO32LT     SLAM!,Emmen/Emmerhout (DRE) 
       V 8421   0.560 JO32DG     RADIONL,Bathmen/Brandweer (OVE) 
 93.20 V 8473   8.000 JO23VC     Waterstad FM,Jirnsum/Rijksweg (FRI) 
       V 8349   1.300 JO21SK     Radio JND,Eindhoven/PNEM Mast (NBR) 
 93.30 V 8421   1.000 JO21NO     RADIONL,Loon op Zand/Cellnex Toren (NBR) 
       V 8421   1.000 JO32KF     RADIONL,Enschede/Deltaflat (OVE) 
       V 82FF   1.000 JO22KI     Ujala Radio,Amsterdam/Cellnex Toren (NHO) 
       V 83D2   0.690 JO11SK     Radio 10,Vlissingen/Arion Hotel (ZEE) 
 93.40 V 841A  10.200 JO21FV     Radio Rijnmond,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
       V 8202  10.000 JO20WV     NPO Radio 2,Hulsberg/Emmaberg (LIM) 
       V 8421   0.457 JO32HO     RADIONL,Hardenberg/Korte Spruit (OVE) 
       V 8888   0.400 JO22XF     Low Power FM,Apeldoorn/Het Nieuwe Kantoor (GEL) (p)
 93.50 V        1.000 JO21WR     Omroep Land van Cuijk,Beers/Grotestraat (NBR) 
       V 8421   0.590 JO32FF     RADIONL,Markelo/Cellnex Toren (OVE) 
       V 1050   0.500 JO22TD     A1 Radio,Barneveld/AgruniekRijnvallei (GEL) 
       V 8473   0.500 JO33BC     Waterstad FM,Drachten/Tjaarda De Stins (FRI) 
       V 8888   0.100 JO32LT     Low Power FM,Emmen/Emmerhout (DRE) (p)
 93.60 V 82A5   6.000 JO32BM     SLAM!,Zwollerkerspel/Cellnex Toren (OVE) 
       V 8349   3.000 JO21SK     Radio JND,Eindhoven/PNEM Mast (NBR) 
       V 86EF   2.600 JO22KI     Wild FM,Amsterdam/Cellnex Toren (NHO) 
       V        0.630 JO21XW     Omroep Lingewaard,Huissen/Langekerkstraat (GEL) (p)
       V        0.630 JO21XW     ,Huissen/Looveer (Van Dalen) (GEL) (c)
       V 82A5   0.110 JO22NC     SLAM!,Utrecht/NH Hotel (UTR) 
 93.70 V 82A5   1.820 JO33JD     SLAM!,Hoogezand/Nieuwe Compagnie (GRO) 
       V 82A5   1.738 JO32JG     SLAM!,Hengelo/Novec mast (Hazenweg) (OVE) 
       V 8421   1.700 JO22FD     RADIONL,Leiden/Rijn en Schiekade (ZHO) 
 93.80 V 82A5  17.000 JO21TT     SLAM!,Megen/Cellnex Toren (NBR) 
       V 83D3   0.600 JO22HJ     100% NL,Haarlem/Cellnex Toren (NHO) 
 93.90 V 8618  11.000 JO22MV     NH Radio,Wieringerwerf/Robbenoordbos (NHO) 
       V        4.790 JO21GV     ,Rotterdam/Erasmus Universiteit (ZHO) (c)
       V 8508   4.300 JO21FM     Radio 10 Brabant,Roosendaal/Cellnex Toren (NBR) 
       V 804E   0.710 JO32HI     Twente FM,Wierden/Handelsweg (OVE) 
 94.00 V 8018   1.000 JO31BW     Favoriet FM,Zevenaar/Hengelder (GEL) 
       V 83E1   1.000 JO32LR     Radio Veronica,Emmen/Bedrijvenpark-A37 (DRE) 
       V        0.250 JO21WO     Omroep Land van Cuijk,Sint Anthonis/De Staat (NBR) 
       V 8421   0.079 JO22WF     RADIONL,Apeldoorn/Torenberg (GEL) 
       V 8441   0.040 JO21RK     Glow FM,Eindhoven/Stadhuis (NBR) 
 94.10 V 8421   1.400 JO21PP     RADIONL,Vught/Eikendonck (NBR) 
       V 8421   1.300 JO22UV     RADIONL,Tjerkgaast/Cellnex Toren (FRI) 
       V 8204   0.008 JO22EC     NPO Radio 4,Den Haag/Cellnex Toren (ZHO) 
 94.20 V 83D3   1.000 JO32EV     100% NL,Smilde/Cellnex Toren (DRE) 
       V 8421   0.400 JO21WT     RADIONL,Nijmegen/Erasmusgebouw (GEL) 
 94.30 V 8204  50.000 JO22MA     NPO Radio 4,IJsselstein/Gerbrandytoren (UTR) 
       V 8085   0.500 JO20VU     Falcon Radio,Berg en Terblijt/Op de Mert (LIM) 
       V 8421   0.500 JO23UA     RADIONL,Sneek/De Heus (FRI) 
       V 8331   0.300 JO31IX     Radio Continu,Winterswijk/Beukenhorstweg (GEL) 
 94.40 V 8202   0.080 JO11WM     NPO Radio 2,Goes/Cellnex Toren (ZEE) 
 94.50 V 8204 100.000 JO21XE     NPO Radio 4,Roermond/Cellnex Toren (LIM) 
       V 8421   1.000 JO22JW     RADIONL,Den Helder/Cellnex Mast (NHO) 
       V 8888   0.630 JO21HN     Low Power FM,Etten Leur/ROC West-Brabant (NBR) (p)
       V 8204   0.030 JO22KI     NPO Radio 4,Amsterdam/Cellnex Toren (NHO) 
 94.70 V 8204  13.000 JO21FV     NPO Radio 4,Rotterdam/Cellnex Toren Waalhaven (ZHO) 
       V 8052   0.790 JO31DV     Optimaal FM,Vethuizen/De Horst (GEL) 
       V 8204   0.050 JO21UX     NPO Radio 4,Wageningen/Bemonte Residence (GEL) 
 94.80 V 8204  90.000 JO32EV     NPO Radio 4,Smilde/Cellnex Toren (DRE) 
       V 8888   0.500 JO21JO     Low Power FM,Breda/UWV (NBR) (p)
 94.90 V 83D3  11.500 JO21TK     100% NL,Mierlo/Cellnex Toren (NBR) 
       V 8421   0.470 JO22KI     RADIONL,Amsterdam/Cellnex Toren (NHO) 
 95.00 V 8201  14.000 JO22MV     NPO Radio 1,Wieringerwerf/Robbenoordbos (NHO) 
       V 8204  11.000 JO11WM     NPO Radio 4,Goes/Cellnex Toren (ZEE) 
       V 83D3   4.000 JO21VT     100% NL,Nijmegen/Lankforst (GEL) 
       V 83D3   2.200 JO22QD     100% NL,Amersfoort/Golden Tulip Berghotel (UTR) 
 95.10 V 841A   0.400 JO21NV     Radio Rijnmond,Leerdam/Energieweg (ZHO) (p)
 95.20 V 82A5  25.000 JO22HD     SLAM!,Alphen aan den Rijn/Cellnex Toren (ZHO) 
       V 8508   2.500 JO21UG     Radio 10 Brabant,Weert/Bassin (LIM) 
       V        0.100 JO21PQ     ,Den Bosch/Statenlaan (NBR) (c)
 95.30 V 83D1  20.000 JO32BM     BNR Nieuwsradio,Zwollerkerspel/Cellnex Toren (OVE) 
       V 851D  10.000 JO20WV     L1 Radio,Hulsberg/Emmaberg (LIM) 
       V 83AA   1.400 JO33IE     Regio FM,Kolham/Scharmer-A7 (GRO) 
       V 8421   0.490 JO21WS     RADIONL,Katwijk/Bio-energiecentrale (NBR) 
       V 82A5   0.400 JO22KI     SLAM!,Amsterdam/Cellnex Toren (NHO) 
 95.40 V 83D1  15.000 JO21KM     BNR Nieuwsradio,Gilze/Prinsenbosch (NBR) 
       V 83D1   1.000 JO32LT     BNR Nieuwsradio,Emmen/Emmerhout (DRE) 
