       M 2202   0.050 IO42SD     RTÉ 2FM,Maamclassach (KY) 
         2208         IO51SV     Spirit Radio,Cork (CO) 
 91.00 M 2202 158.500 IO52PX     RTÉ 2FM,Maghera (CE) 
       M 2202   0.150 IO55VD     RTÉ 2FM,Magheraroarty (DL) 
 91.10 M 2202   2.500 IO64LE     RTÉ 2FM,Monaghan/Lugad Hill (RTE) (MN) 
       M 2202   2.000 IO65II     RTÉ 2FM,Malin Head (DL) 
 91.20 M 2202   3.000 IO62II     RTÉ 2FM,Suir Valley/Fiddown Hills (KK) 
       M 2202   0.010 IO51SQ     RTÉ 2FM,Kinsale (CO) 
 91.30 M 2202  50.000 IO63TE     RTÉ 2FM,Kippure (WW) 
       M 2202   0.030 IO42TE     RTÉ 2FM,Ballydavid (KY) 
 91.40 M 2202   6.000 IO65HA     RTÉ 2FM,Hollywell Hill (DL) 
       M 2202   5.000 IO51RU     RTÉ 2FM,Cork/Spur Hill (CO) 
       M 2202   1.000 IO52EM     RTÉ 2FM,Knockanore (KY) 
 91.50 M 2202   3.000 IO53HW     RTÉ 2FM,Castlebar/Croaghmoyle (MO) 
       M 2202   0.020 IO63AK     RTÉ 2FM,Athlone (RTE) (WH) 
 91.60 M 2202   2.500 IO52PR     RTÉ 2FM,Woodcock Hill (RTE) (CE) 
       M 2202   0.050 IO52UD     RTÉ 2FM,Fermoy/Macroney (CO) 
 91.70 M 2202   3.000 IO41TU     RTÉ 2FM,Cahirciveen/Kilkeaveragh (KY) 
       M 2202   3.000 IO53AM     RTÉ 2FM,Clifden/Cregg Hill (G) 
       V 2202   1.000 IO63WD     RTÉ 2FM,Greystones/Bellevue (WW) 
         2208         IO53LG     Spirit Radio,Galway (G) 
 91.80 M 2202 200.000 IO62OO     RTÉ 2FM,Mount Leinster (CW) 
       M 2202   3.000 IO54SX     RTÉ 2FM,Arranmore Island (DL) 
 91.90 M 2202   0.500 IO64DS     RTÉ 2FM,Ballybofey (DL) 
       M 2202   0.100 IO53HA     RTÉ 2FM,Lahinch=Lehinch (CE) 
 92.00 M 2202   4.000 IO65EF     RTÉ 2FM,Fanad (DL) 
       M 2202   0.050 IO51SV     RTÉ 2FM,Cork/Collins Barracks (CO) 
 92.10 M 2202   3.000 IO43XW     RTÉ 2FM,Achill Island/Minaun Heights (MO) 
       M        0.500 IO63VG     ,Three Rock Mountain (D) (p)
 92.20 M 2202 158.500 IO51KX     RTÉ 2FM,Mullaghanish (CO) 
                      IO63OE     Spirit Radio,Newbridge (KE) 
 92.40 V 2202   3.000 IO62BU     RTÉ 2FM,Kilduff Mountain (TA) (p)
 92.50 V 20A3   0.025 IO63VI     Phoenix FM,Blanchardstown (D) 
       V              IO52EQ     Raidió Corca Baiscinn,Kilkee (CE) 
 92.60 M 2204 126.000 IO54TI     RTÉ Raidió na Gaeltachta,Truskmore (SO) 
       M 2204   3.000 IO51US     RTÉ Raidió na Gaeltachta,Crosshaven (CO) 
                      IO52RH     ,Ballyhoura (LK) (c)
 92.70 M 2204   3.000 IO51AP     RTÉ Raidió na Gaeltachta,Castletownbere/Knockgour (KY) 
       M 2204   1.000 IO62DI     RTÉ Raidió na Gaeltachta,Clonmel (TA) 
       M 2204   1.000 IO65LF     RTÉ Raidió na Gaeltachta,Moville/Crockaulin (DL) 
       M 2204   0.100 IO62KG     RTÉ Raidió na Gaeltachta,Waterford/Gallow's Hill (WD) 
 92.80 M 2204   2.000 IO53FG     RTÉ Raidió na Gaeltachta,Casla (G) 
       M 2204   1.000 IO52DF     RTÉ Raidió na Gaeltachta,Knockmoyle (RTE) (KY) 
 92.90 M 2204   5.000 IO63VG     RTÉ Raidió na Gaeltachta,Three Rock Mountain (D) 
       M 2204   3.000 IO62DB     RTÉ Raidió na Gaeltachta,Dungarvan/Carronadavderg 2 (WD) 
 93.00 V 2204   1.000 IO55VB     RTÉ Raidió na Gaeltachta,Derrybeg (DL) 
       M 2204   0.100 IO52UH     RTÉ Raidió na Gaeltachta,Mitchelstown (RTE) (CO) 
 93.10 M 2204   1.000 IO51GP     RTÉ Raidió na Gaeltachta,Bantry (CO) 
