         1201         IM75CK     SNRT Chaine Inter,unknown, Tanger area (1) 
 88.70 H 1204  20.000 IM75BS     SNRT Quran,Tanger/Cap Spartel (1) 
       V 1118   1.000 IM71VK     Hit Radio,Erfoud (8) 
       V        1.000 IL49XA     Medradio,Guelmim/Fogo (10) 
       V        1.000 IM50OJ     MFM Souss,Taroudant (9) 
       V        0.500 IM61WF     SNRT Al Idaa Al-Watania,Kalaat M'Gouna=El-Kelaa M'Gouna (8) 
       V 1283         IM63EK     MFM Acharq,Casablanca=Dar el-Beida (6) 
                      IM60SQ     SNRT Al Idaa Al-Watania,Agdz (8) 
                      IM75CT     SNRT Reg Tanger,Tanger (1) 
 88.80 H 1201  10.000 IM74GA     SNRT Al Idaa Al-Watania,Meknès/Jebel Zerhoune (3) 
       V 111C   3.160 IM92ID     Radio Mars,Figuig (2) 
       V 1001   3.160 IL58HA     SNRT Al Idaa Al-Watania,Zag (10) 
       V        1.000 IM50SB     SNRT Al Idaa Al-Watania,Igherm (9) 
       V        1.000 IM50GQ     SNRT Al Idaa Al-Watania,Idaoutanane (9) 
       V        1.000 IM82LB     SNRT Al Idaa Al-Watania,Bouanane (2) 
       V        1.000 IM70GU     SNRT Al Idaa Al-Watania,Tazzarine (8) 
       V 1201   0.500 IM75VA     SNRT Al Idaa Al-Watania,Babet (1) 
       V        0.500 IL49WI     SNRT Al Idaa Al-Watania,Sidi Ifni (10) 
       V        0.200 IM72CL     SNRT Al Idaa Al-Watania,Tizi N'Isly (5) 
       V        0.200 IM71LX     SNRT Al Idaa Al-Watania,Assoul (8) 
       V        0.200 IM84BP     SNRT Al Idaa Al-Watania,Aknoul (3) 
 88.90 V 125B   3.000 IM60NW     Medradio,Ouarzazate (8) 
 89.00 V       10.000 IL59DQ     SNRT Al Idaa Al-Watania,Tiznit (9) 
       H 1204   5.000 IM85AF     SNRT Quran,Al Hoceïma/Palomas (1) 
       V 111C   3.000 IM51GR     Radio Mars,Essaouira/Jbel Lahdid (7) 
       V        1.580            SNRT Al Idaa Al-Watania,Moulay Bouazza (5) 
       V        1.000 IL59VE     SNRT Al Idaa Al-Watania,Akka (9) 
       V        1.000 IM83DH     SNRT Al Idaa Al-Watania,Outat El Haj (3) 
       V        1.000 IM74SN     SNRT Al Idaa Al-Watania,Bni Oulid (3) 
       V        1.000 IM71IH     SNRT Al Idaa Al-Watania,Alnif (8) 
       V 1202   1.000 IM62DX     SNRT Chaine Inter,Settat/Regraga (6) 
 89.10 V       12.020 IL59KS     SNRT Al Idaa Al-Watania,Tafraoute (9) 
       V        1.000 IM92AM     Aswat,Bouarfa (2) 
       V 1201   1.000 IM52LR     SNRT Al Idaa Al-Watania,Oualidia (6) 
       V        1.000 IM75JG     SNRT Al Idaa Al-Watania,Talembout (1) 
       V        1.000 IM73RT     SNRT Al Idaa Al-Watania,Almanzal=El Menzel (3) 
       V        1.000 IM72MG     SNRT Quran,Amouguer (8) 
 89.20 H 1001  12.000 IM84PX     SNRT Al Idaa Al-Watania,Zaio (2) 
       V 1283   3.000 IM62SE     MFM Casa,Beni-Mellal/Tazerkounte (5) 
       V 1001   1.260 IM75HC     SNRT Al Idaa Al-Watania,Chefchaouen (1) 
       V        1.000 IL48HL     SNRT Al Idaa Al-Watania,Tan-Tan Plage (10) 
       V        1.000 IM72MA     SNRT Al Idaa Al-Watania,Amelagou (8) 
       V        0.200            ,Moulay Idriss (My Driss Zerhoun) (3) (p)
 89.30 H 1203  10.000 IM73CC     SNRT Al Idaa Al Amazighia,Khenifra=Xnifra (5) 
       V        3.000 IM53RF     Medradio,El Jadida (6) 
       V 125B   3.000 IM50EK     Medradio,Agadir/Oufella (9) 
       V        1.260 IM64QG     Radio Mars,Kenitra/Mehdia (4) 
 89.40 V 111C   3.000 IM74MB     Radio Mars,Fès/Dhar Mehraz (3) 
       V        1.580            SNRT Al Idaa Al-Watania,Timguissin (9) 
       V 125B   1.000 IM62NV     Medradio,Khouribga (5) 
 89.50 V 1201   1.250 IM74TW     SNRT Al Idaa Al-Watania,Targuist (1) 
       V        1.000 IM74RA     SNRT Al Idaa Al-Watania,Bouzemlane (3) 
 89.60 H 1281  50.000 IM85KG     Medi 1,Nador/Aazanen (2) 
       H       12.000 IM73GH     SNRT Al Idaa Al Amazighia,Tiguelmamine (3) 
       V 125B   3.000 IM75DT     Medradio,Tanger (1) 
       V 125B   1.000 IL37NW     Medradio,Tarfaya (11) 
       V 1118   0.500 IL59KS     Hit Radio,Tafraoute (9) 
                      IM75CK     SNRT Al Idaa Al-Watania,unknown, Tanger area (1) 
         1201         IM75CK     SNRT Chaine Inter,unknown, Tanger area (1) 
 89.70 V        2.000 IL79EW     MFM Souss,M'Hamid El Ghizlane (8) 
       V 1203   2.000 IM51PP     SNRT Al Idaa Al Amazighia,Marrakech (7) 
       V 1203   0.200 IM74EV     SNRT Al Idaa Al Amazighia,Sar Sar (4) 
       H 1203         IM75CK     SNRT Al Idaa Al Amazighia,unknown, Tanger area (1) 
 89.80 H 1202  20.000 IM62SE     SNRT Chaine Inter,Beni-Mellal/Tazerkounte (5) 
       H 1201  12.000 IM84XR     SNRT Al Idaa Al-Watania,Oujda/Meghrez (2) 
       V 125B   3.000 IM51GR     Medradio,Essaouira/Jbel Lahdid (7) 
       V        1.000 IM50WX     SNRT Al Idaa Al-Watania,Talaat N'Yakoub (7) 
       V        1.000 IL59RV     SNRT Al Idaa Al-Watania,Aït Issafen (9) 
       V        0.200 IM74VS     SNRT Al Idaa Al-Watania,Thar Es-souk (3) 
                      IM92AM     Hit Radio,Bouarfa (2) 
 89.90 V       16.000 IM73KK     Chada FM,Ifrane/Azougar (3) 
       V 1229   3.000 IM74VB     Chada FM,Taza/Jebel Tazakka (3) 
       V        1.000 IM60NB     Medradio,Foum Zguid (9) 
       V 1118   0.500 IM92AN     Hit Radio,Bouarfa/Djebel Bouarfa (2) 
 90.00 H 1202  10.000 IM63FK     SNRT Chaine Inter,Casablanca/Merchiche (6) 
       H 1201   3.160 IM51NA     SNRT Al Idaa Al-Watania,Imintanoute (7) 
       V        1.000 IM74QM     Chada FM,Taounate (3) 
       V 1B01   1.000 IM71CI     SNRT Al Idaa Al Amazighia,Imider (9) 
       V 1201   1.000 IM72BP     SNRT Al Idaa Al-Watania,Zaouïat Cheikh (5) 
       V 1283   0.500 IL69AR     MFM Souss,Tata (9) 
       V              IL59DQ     ,Tiznit (9) (p)
 90.10 V 1202  15.850 IM75DT     SNRT Chaine Inter,Tanger/Nouinech (1) 
       V        3.000 IM73GH     Medradio,Tiguelmamine (3) 
       V        1.000 IM74EV     Medina FM,Sar Sar (4) 
       V 135A   1.000 IM74FS     Medina FM,Ouazzane (1) 
       V 1201   1.000 IL59KP     SNRT Al Idaa Al-Watania,Had Tahla (9) 
       V        0.200            SNRT Al Idaa Al-Watania,Aourir=Awrir (9) 
         125B                    Medradio,Midelt Ville (8) 
 90.20 V 125B   6.000 IM63OW     Medradio,Rabat/Zaer (4) 
       V        4.000 IL37NW     SNRT Al Idaa Al-Watania,Tarfaya (11) 
       V        1.000 IL79EW     Medradio,M'Hamid El Ghizlane (8) 
       V        1.000 IM62WJ     SNRT Al Idaa Al-Watania,Tagzert (5) 
       V        1.000 IM72IH     SNRT Al Idaa Al-Watania,Anemzi (8) 
       V        0.500            ,Kaf El Ghar (3) (p)
       V        0.320 IM73WA     Medradio,Missour (3) 
       V              IM85AF     ,Al Hoceïma/Palomas (1) (p)
 90.30 H 1201  12.000 IL48KK     SNRT Al Idaa Al-Watania,Tan-Tan (10) 
       H 1203  10.000 IM84RH     SNRT Al Idaa Al Amazighia,Boukhouali (Taourirt) (2) 
       H 1201   6.000 IM60NV     SNRT Al Idaa Al-Watania,Ouarzazate (8) 
       V noPI   3.000 IM74GA     Chada FM,Meknès/Jebel Zerhoune (3) 
       V 125B   3.000 IM52IH     Medradio,Safi (7) 
       V        1.000 IM72FR     SNRT Al Idaa Al-Watania,El Kebab (5) 
       V        0.500            SNRT Al Idaa Al-Watania,Askal (9) 
 90.40 H 1201   3.160 IM53RF     SNRT Al Idaa Al-Watania,El Jadida (6) 
       V        1.580            SNRT Al Idaa Al-Watania,Amtezguine (9) 
       V        1.000 IM75ET     SNRT Al Idaa Al-Watania,Ksar Sghir (1) 
       V        1.000 IM62XN     SNRT Al Idaa Al-Watania,El Ksiba (5) 
       V        1.000 IM61TV     SNRT Al Idaa Al-Watania,Aït M'hamed (5) 
       V        1.000 IM73SP     SNRT Chaine Inter,Adrej (3) 
       V        0.200 IM72EL     SNRT Al Idaa Al-Watania,Aghbala (5) 
 90.50 H 1201  12.000 IM73KK     SNRT Al Idaa Al-Watania,Ifrane/Azougar (3) 
       V 1357   3.000 IM61BF     Atlantic Radio,Marrakech/Oukaïmeden (7) 
       V        1.000 IM84CS     SNRT Al Idaa Al-Watania,Tizi Ouasli (3) 
       V        1.000 IM74LB     ,Fès (3) (p)
       V        0.200            ,Abteh (10) (p)
 90.60 H 1201  12.000 IM75HL     SNRT Al Idaa Al-Watania,Tetouan/Hafa Safa (1) 
       H 1201   6.000 IM71AI     SNRT Al Idaa Al-Watania,Boumalne-Dadès (8) 
       V 1116   3.000 IL59DQ     Aswat,Tiznit (9) 
       V 111C   1.000 IM92AM     Radio Mars,Bouarfa (2) 
       V        1.000            SNRT Al Idaa Al-Watania,Tissint (9) 
                1.000            ,Imi N'Tlit (7) (p)
       V        0.200 IM72EF     SNRT Al Idaa Al Amazighia,Imilchil (8) 
 90.70 V        3.200            Chada FM,Midelt Ville (8) 
       V        3.160 IL58HA     SNRT Chaine Inter,Zag (10) 
       V 111C   3.000 IM74GA     Radio Mars,Meknès/Jebel Zerhoune (3) 
       V 1358   2.500 IM84PX     Cap Radio,Zaio (2) 
       V        1.000 IM81EW     SNRT Chaine Inter,Boudnib (8) 
 90.80 V 1118   3.000 IM85AF     Hit Radio,Al Hoceïma/Palomas (1) 
       V        1.580            SNRT Al Idaa Al-Watania,Tanalt (9) 
       V        1.000 IM62DX     SNRT Al Idaa Al Amazighia,Settat/Regraga (6) 
       V        1.000 IM71FM     SNRT Al Idaa Al Amazighia,Tinghir=Tinerhir (8) 
       V 1201   1.000 IM74XF     SNRT Al Idaa Al-Watania,Taza (3) 
       V        1.000 IM50SB     SNRT Chaine Inter,Igherm (9) 
       V 125B   0.500 IM74TW     Medradio,Targuist (1) 
       V        0.320 IM73WA     SNRT Al Idaa Al Amazighia,Missour (3) 
       V        0.200 IM71LX     SNRT Chaine Inter,Assoul (8) 
