100.40 V 8201   1.000 HM49JK     RTP Antena 1,Lajes das Flores/Fajazinha (FLO) 
100.50 M 8459   0.500 HM68IR     Canal FM,Serra de Santa Barbara (TCE) 
100.80 M 8202   1.300 HM77ES     RTP Antena 2,Ponta Delgada / R. do Castelo Branco (RTP) (SMG) 
101.10 M 8409   0.400 HM68IR     Radio Clube de Angra,Serra de Santa Barbara (TCE) 
101.40 M        1.000 HM77ES     Radio Horizonte Açores,Ponta Delgada (SMG) (i)
       V 8202   0.500 HM58QN     RTP Antena 2,Horta/Espalamaca (FAI) 
101.70 M 8202  33.000 HM77GS     RTP Antena 2,Pico da Barrosa (RDP) (SMG) 
102.00 M 8204   1.000 HM49KK     RTP Antena 3,Monte das Cruzes (FLO) 
102.20 V        0.050 HM58QN     Antena 9,Horta/Espalamaca (FAI) 
102.40 V 84A2   0.500 HM77GS     Top FM,Pico da Barrosa (SMG) (i)
102.60 V 8201   0.200 HM49KJ     RTP Antena 1,Lajes das Flores/Outeiro (FLO) 
102.70 V 8204   1.000 HM58QN     RTP Antena 3,Horta/Espalamaca (FAI) 
102.80 V 8201   0.500 HM77JS     RTP Antena 1,Povoaçao (SMG) 
103.00 V 8204  30.000 HM68IR     RTP Antena 3,Serra de Santa Barbara (TCE) 
103.20 M        2.000 HM76KX     Radio Clube Asas do Atlantico,Pico Alto de Santa Maria (STM) 
103.30   8202   1.000 HM77CT     RTP Antena 2,Cascalho Negro (SMG) 
103.40 M 8201   0.100 HM58SK     RTP Antena 1,Sao Mateus (PIC) 
103.70 M 8201   1.000 HM58VJ     RTP Antena 1,Pico do Geraldo (PIC) 
       V 8202   1.000 HM49JK     RTP Antena 2,Lajes das Flores/Fajazinha (FLO) 
       M 8201   0.500 HM77JT     RTP Antena 1,Nordestinho (SMG) 
103.90 V 8204   0.900 HM68KR     RTP Antena 3,Serra do Cume (TCE) 
104.20 V 8204   1.000 HM77CT     RTP Antena 3,Cascalho Negro (SMG) 
104.40 M 8436   1.000 HM68IR     Radio Horizonte Açores,Serra de Santa Barbara (TCE) 
104.50 M        0.500 HM49KK     Canal FM,Santa Cruz das Flores (FLO) 
104.60 M 8201   0.100 HM77KT     RTP Antena 1,Vila do Nordeste (SMG) 
