 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 88.20 V B317   0.076 JN96UM     Radió 1,Kiskunmajsa / HQsök tere (Heroes' square) (BAK) 
       V        0.050 JN86WU     ,Balatonföldvar (SOM) (c)
 88.30 H B206   5.900 KN08QC     Dankó Radió,Tokaj / Nagykopasz (BAZ) 
       H B1CC   1.000 JN97VE     Maria Radió,Cegled / Silo (PES) 
       V B1CC   1.000 JN97BS     Maria Radió,Komarom / Bem József str. (KOE) 
       V B41B   0.100 JN86KU     Karc FM,Zalaegerszeg / Village Museum (ZAL) 
       V B203   0.100 KN06KJ     MR 1 Kossuth Radió,MezQkovacshaza / Silo (BEK) 
 88.40 H B203   2.000 JN96PO     MR 1 Kossuth Radió,CsengQd/KiskQrös (BAK) 
       H B6CC   0.300 JN87HF     Maria Radió,Szombathely / Viztorony utca (VAS) 
       V        0.100 JN97IN     ,Zsambek / Örsi hegy (PES) (c)
       V        0.100 JN97KH     ,Szazhalombatta (PES) (c)
 88.60 V B41B   0.300 JN95DU     Karc FM,Siklós / Köztarsasag ter 8. (BAR) (c)
       V B0AA   0.100 KN06HN     Magyar Katolikus Radió,Oroshaza / Silo, Október 6 str. (BEK) 
 88.70 V B317   0.300 KN07JO     Radió 1,Tiszafüred / Water tower, Szegfq str. (JNS) 
       V B396   0.240 JN96LE     Gong Radió,Baja / Gabonataroló (grain silo) (BAK) 
                0.010 JN86EU     ,Öriszentpeter (VAS) (c)
                0.010 JN97EH     ,Zamoly (FEJ) (c)
       V        0.002 KN08JC     ,Miskolc / Avas lakótelep, Klapka György str. 12 (BAZ) (c)
       V B587   0.001 JN96AV     Radió Balaton,Siófok/Fokihegy, Kossuth St. 58. (SOM) 
 88.80 V B317   0.500 KN08HG     Radió 1,Kazincbarcika / FQ ter (BAZ) 
       H B3CC   0.110 JN97LM     Maria Radió,Budapest/Szechenyi-hegy (BUD) 
 88.90 V B375   0.300 KN06NQ     88.9 Csaba Radió,Bekescsaba / High-rise, Bartók Bela str. 23 (BEK) 
       V B051   0.200            Best FM 88.9,Zalaegerszeg / Landorhegy, Madach Imre Str. 22 
       V        0.200 JN97XT     Karc FM,Gyöngyös / Sar-hegy (HEV) (p)
       V B538   0.001 JN97EE     Alpha Radió,Szekesfehervar/Vörösmarty Sq. (FEJ) 
 89.00 H B201   1.000 KN07TO     MR 2 PetQfi Radió,Debrecen / Pallagi str. (NagyerdQ) (HAB) 
       V B3AA   0.100 JN97CI     Magyar Katolikus Radió,Mór/Szent Kereszt Templom (FEJ) 
       H B208   0.050 JN86VI     Retro Radió,Kaposvar - Telekom tower (SOM) 
 89.10 H        0.050 JN97LS     ,Nagymaros/Hegyes-tetQ (PES) (p)
 89.20 V B317   0.300 KN07HL     Radió 1,Abadszalók A (JNS) 
 89.40 H B201   6.300 JN96NE     MR 2 PetQfi Radió,Csavoly (BAK) 
