       V E220   0.500 JO75BR     NRJ,Brösarp/Brösarp station (SN) 
       V E243   0.250 JO66FV     Mix Megapol,Falkenberg/Smedjeholmen (HA) 
       V        0.250 JO89WO     Radio Sigtuna,Sigtuna/Märsta-Valsta VT (ST) 
       V E2A0   0.100 JO67AL     Rockklassiker,Kungsbacka/Vattentorn (HA) 
       V        0.040 JO67AL     ,Kungsbacka/Vattentorn (HA) (c)
 88.30 H E201  60.000 JO87FR     SR P1,Västervik/Fårhult TM (KA) 
       H E201  60.000 KP07HC     SR P1,Gällivare/Dundret RM (NO) 
       H E201   1.200 JP82XW     SR P1,Kramfors-Lugnvik/Bjärtrå Snödåsberget TM (VN) 
       V E220   1.000 JO65JU     NRJ,Landskrona/Nya Vattentorn (SN) 
       V E245   0.600 JO78NH     Star FM,Mjölby/Vattentorn (OG) (p)
       V E2A0   0.500 JO69LD     Rockklassiker,Säffle/Treabackarna M1 TM (VR) 
       V E220   0.200 JO58VB     NRJ,Stenungsund/Tjörnbron (VG) 
       V        0.200 JO65JU     ,Landskrona/Nya Vattentorn (SN) (c)
       V E241   0.100 JP70QD     RIX FM,Smedjebacken/Uvberget TM (DA) 
       V        0.100 JP70QD     ,Smedjebacken/Uvberget TM (DA) (c)
       H E201   0.030 JP61KC     SR P1,Rörbäcksnäs/Lima Rörbäcksnäs TM (DA) 
 88.40 H E201  60.000 JP81CL     SR P1,Bollnäs/Arbrå-Kyrkberget TM (GA) 
       V E245   0.500 KP15KV     Star FM,Kalix/Vitheden (NO) (p)
       V E034   0.500 JO89TF     Sveriges Kristna Radio/Södertälje Närradio/R.Suomi,Södertälje/Ragnhildsborg TM (ST) 
       V E201   0.300 JO58PN     SR P1,Hamburgsund/Hamburgö TM (VG) 
       V E201   0.100 JO69BR     SR P1,Koppom/TM (VR) 
       H E201   0.020 JP75JR     SR P1,Joeström/Tärnaby Joeström TM (VB) 
 88.50 H E201  60.000 JP93VU     SR P1,Vännäs/Granlundsberget TM (VB) 
       V E201  10.000 JO67MR     SR P1,Borås/Dalsjöfors-Häglared TM (VG) 
       H E201   3.000 JO79BQ     SR P1,Filipstad/Klockarhöjden TM (VR) 
       V E241   0.150 JO66LD     RIX FM,Åstorp/Alpgatan (SN) (i)
       V        0.150 JO66LC     ,Åstorp/Smedjehus Europolitan (SN) (c)
 88.60 V E241   2.000 JP72WL     RIX FM,Ånge (VN) 
       V E243   1.000 JO76SP     Mix Megapol,Emmaboda/Vattentorn (KA) 
       H E201   0.500 JO78TJ     SR P1,Linköping/VT (OG) 
       V E245   0.250 JP61OD     Star FM,Sälen/Lindvallen-Comviq RM (DA) 
       V 6666   0.200 JO66KP     Radio Halmstad,Halmstad/Klammerdammsgatan 8 (HA) 
       V        0.025 JP61ND     ,Sälfjället/Lindvallen/Teracom RM (DA) (c)
 88.70 V E220   3.000 JO89GP     NRJ,Västerås/Nya vattentornet Skallberget (VM) 
       V        3.000 JO89MO     ,Enköping/Svinnegarn (UP) (c)
       V E245   0.372 JP62XJ     Star FM,Vemdalen (JM) (p)
       V E241   0.300 JO58WB     RIX FM,Stenungsund (VG) 
       V E402   0.250 JO87FG     SR P2,Oskarshamn/Lilla Marksvägen/Teracom Mast (KA) 
       V        0.250 JO89KX     ,Heby/RM (UP) (c)
       H E201   0.200 JP85SP     SR P1,Sorsele/Nalovardo TM (VB) 
       H E2A0   0.100 JP83OD     Rockklassiker,Sollefteå-Hallsta/Hallstaberget TM (VN) 
       V E224   0.060 JO88SV     SR P4,Trosa/Vattentorn (SO) 
 88.80 H E201  60.000 JO65UT     SR P1,Hörby/Sallerup TM (SN) 
       H E201   1.500 JP82XO     SR P1,Härnösand/Vårdkasberget TM (Härnön) (VN) 
       V        0.300 JP70TO     ,Falun/Hopptornet 90 m (DA) (c)
       V E220   0.100 JO89HB     NRJ,Flen/Öja RM (SO) 
       V E220   0.100 JO99JG     NRJ,Runmarö/Söderby (ST) 
       V        0.100 JO89HB     ,Flen/Öja RM (SO) (c)
       V E245   0.075 JO58PI     Star FM,Kungshamn/TM (VG) (p)
       V E201   0.030 JP60HV     SR P1,Höljes/TM (VR) 
 88.90 H E201  60.000 JO68VJ     SR P1,Skövde/Åsbotorp 2/Billingen TM (VG) 
       H E201  15.000 KP16KH     SR P1,Överkalix/Grelsbyberget TM (NO) 
       V E0CC   0.500 JO89XH     Radio Sydväst, Radio Bahia, Radio Amazonas,Stockholm/Hägersten-Sätra Vattentorn (ST) 
       V E201   0.500 JO76KU     SR P1,Växjö/Östregård Hollstorp (KB) 
       H E201   0.120 JP75TP     SR P1,Tärnaby/Ryfjället TM (VB) 
       H E201   0.100 JP61NP     SR P1,Särna/Mickeltemplet TM (DA) 
       H E201   0.030 JP62DM     SR P1,Tänndalen/TM (JM) 
 89.00 V E245   2.000 JP81EI     Star FM,Bollnäs (Bergsjö)/Bolleberget TM (GA) 
       V        1.000 JP84LE     ,Åsele (VB) (p)
       V        1.000 JP81EI     ,Bollnäs (Bergsjö)/Bolleberget TM (GA) (c)
       V E390   0.500 JO66KJ     Retro FM,Båstad/Karstorp (SN) 
       V 8900   0.300 JO88BN     Radio Norrköping,Norrköping/Kättsätter VT (OG) 
       V E220   0.250 JO89AM     NRJ,Köping/silo (VM) 
